ts,cpu_percent,rss_mb,power_w,energy_j_total
1760384284.1324642,0.60,185.48,0.000,0.000000
1760384285.131775,0.20,185.48,0.000,0.000000
1760384286.131192,0.10,177.95,0.000,0.000000
1760384287.132307,57.10,192.27,0.000,0.000000
1760384288.131796,8.70,192.88,0.000,0.000000
1760384289.13246,8.50,192.70,0.000,0.000000
1760384290.132458,8.00,193.28,0.000,0.000000
1760384291.130641,8.10,189.03,0.000,0.000000
1760384292.1318169,9.30,187.33,0.000,0.000000
1760384293.132478,6.90,187.80,0.000,0.000000
1760384294.132246,6.30,188.28,0.000,0.000000
1760384295.130922,7.70,188.89,0.000,0.000000
1760384296.131733,7.40,189.67,0.000,0.000000
1760384297.128201,14.90,188.22,0.000,0.000000
1760384298.128096,10.90,188.73,0.000,0.000000
1760384299.131555,46.80,190.09,0.000,0.000000
1760384300.131798,63.80,191.16,0.000,0.000000
1760384301.127815,128.20,191.53,0.000,0.000000
1760384302.127799,50.70,197.34,0.000,0.000000
1760384303.128854,157.70,201.45,0.000,0.000000
1760384304.132444,141.10,202.28,0.000,0.000000
1760384305.131783,180.00,202.50,0.000,0.000000
1760384306.130228,199.30,202.73,0.000,0.000000
1760384307.128597,135.50,203.02,0.000,0.000000
1760384308.132426,133.70,203.97,0.000,0.000000
1760384309.129259,165.40,204.22,0.000,0.000000
1760384310.128284,115.60,204.55,0.000,0.000000
1760384311.132417,103.00,204.69,0.000,0.000000
1760384312.1324139,64.20,204.83,0.000,0.000000
1760384313.1292028,24.00,205.14,0.000,0.000000
1760384314.1317382,21.10,205.45,0.000,0.000000
1760384315.131739,41.90,206.20,0.000,0.000000
1760384316.131823,68.70,206.45,0.000,0.000000
1760384317.128248,84.10,206.73,0.000,0.000000
1760384318.1317499,62.80,206.98,0.000,0.000000
1760384319.131766,53.90,207.08,0.000,0.000000
1760384320.128479,69.60,207.23,0.000,0.000000
1760384321.129857,62.50,207.73,0.000,0.000000
1760384322.132449,66.70,206.92,0.000,0.000000
1760384323.131445,27.70,206.62,0.000,0.000000
1760384324.132423,19.90,207.30,0.000,0.000000
1760384325.129055,12.70,207.58,0.000,0.000000
1760384326.131736,17.10,206.41,0.000,0.000000
1760384327.128324,7.90,206.56,0.000,0.000000
1760384328.129426,7.10,206.73,0.000,0.000000
1760384329.131125,7.30,206.88,0.000,0.000000
1760384330.1324558,8.50,206.98,0.000,0.000000
1760384331.12927,5.60,205.69,0.000,0.000000
