ts,cpu_percent,rss_mb,power_w,energy_j_total
1760386326.710816,0.60,183.72,0.000,0.000000
1760386327.7059379,0.20,183.72,0.000,0.000000
1760386328.7100081,0.10,159.05,0.000,0.000000
1760386329.70684,52.10,184.45,0.000,0.000000
1760386330.710201,7.40,180.45,0.000,0.000000
1760386331.706864,7.50,180.98,0.000,0.000000
1760386332.710746,8.70,181.64,0.000,0.000000
1760386333.710517,7.60,182.17,0.000,0.000000
1760386334.705832,8.50,182.83,0.000,0.000000
1760386335.7059572,6.70,183.34,0.000,0.000000
1760386336.7106051,8.80,184.08,0.000,0.000000
1760386337.707337,7.80,184.69,0.000,0.000000
1760386338.7091992,8.90,185.56,0.000,0.000000
1760386339.7069912,19.10,187.53,0.000,0.000000
1760386340.7103171,11.90,188.17,0.000,0.000000
1760386341.710727,47.30,190.31,0.000,0.000000
1760386342.7097988,58.80,190.83,0.000,0.000000
1760386343.7098272,43.60,191.77,0.000,0.000000
1760386344.709874,111.20,192.31,0.000,0.000000
1760386345.710739,180.40,193.28,0.000,0.000000
1760386346.709667,211.70,196.86,0.000,0.000000
1760386347.710558,156.70,197.75,0.000,0.000000
1760386348.710711,117.70,198.03,0.000,0.000000
1760386349.7107031,128.80,198.12,0.000,0.000000
1760386350.710722,187.60,198.23,0.000,0.000000
1760386351.709412,201.10,199.42,0.000,0.000000
1760386352.7107232,145.20,199.80,0.000,0.000000
1760386353.7098298,56.90,200.03,0.000,0.000000
1760386354.705903,88.70,200.14,0.000,0.000000
1760386355.705917,36.40,200.34,0.000,0.000000
1760386356.707465,21.30,210.80,0.000,0.000000
1760386357.710728,44.90,211.19,0.000,0.000000
1760386358.706861,74.40,212.19,0.000,0.000000
1760386359.707708,77.60,212.52,0.000,0.000000
1760386360.709648,78.00,212.78,0.000,0.000000
1760386361.707267,70.10,212.97,0.000,0.000000
1760386362.7077172,62.00,212.80,0.000,0.000000
1760386363.709214,57.50,212.08,0.000,0.000000
1760386364.705917,74.90,212.34,0.000,0.000000
1760386365.71008,47.50,212.52,0.000,0.000000
1760386366.709331,27.60,212.66,0.000,0.000000
1760386367.706454,24.40,212.81,0.000,0.000000
1760386368.709631,19.90,212.67,0.000,0.000000
1760386369.706667,10.10,211.94,0.000,0.000000
1760386370.708988,7.80,212.53,0.000,0.000000
1760386371.709634,7.80,212.64,0.000,0.000000
1760386372.709662,6.90,212.72,0.000,0.000000
1760386373.709654,7.90,212.81,0.000,0.000000
