ts,cpu_percent,rss_mb,power_w,energy_j_total
1760382305.2123232,0.40,204.62,0.000,0.000000
1760382306.214437,0.20,204.62,0.000,0.000000
1760382307.214258,0.10,204.62,0.000,0.000000
1760382308.2154398,182.00,209.39,0.000,0.000000
1760382309.2170508,2.70,209.45,0.000,0.000000
1760382310.216382,0.20,209.45,0.000,0.000000
1760382311.215677,0.20,209.45,0.000,0.000000
1760382312.217066,0.20,209.45,0.000,0.000000
1760382313.214593,0.30,209.45,0.000,0.000000
1760382314.214326,0.20,209.45,0.000,0.000000
1760382315.2163022,0.60,209.45,0.000,0.000000
1760382316.214252,0.30,209.45,0.000,0.000000
1760382317.2130811,0.20,207.47,0.000,0.000000
1760382318.2170508,0.30,203.86,0.000,0.000000
1760382319.216914,0.20,203.84,0.000,0.000000
1760382320.2212858,0.20,203.72,0.000,0.000000
1760382321.213506,0.40,203.73,0.000,0.000000
1760382322.217054,0.30,189.23,0.000,0.000000
1760382323.2170508,0.30,189.23,0.000,0.000000
1760382324.217061,0.20,189.23,0.000,0.000000
1760382325.214232,0.40,189.23,0.000,0.000000
1760382326.2170508,0.20,186.77,0.000,0.000000
1760382327.2157729,0.20,186.77,0.000,0.000000
1760382328.2145898,0.20,186.77,0.000,0.000000
1760382329.21455,0.20,186.77,0.000,0.000000
1760382330.21705,0.20,186.77,0.000,0.000000
1760382331.21706,0.40,186.77,0.000,0.000000
1760382332.212663,0.30,186.77,0.000,0.000000
1760382333.217056,0.20,186.77,0.000,0.000000
1760382334.21568,0.20,186.77,0.000,0.000000
1760382335.21772,0.40,186.70,0.000,0.000000
1760382336.2155101,0.30,186.70,0.000,0.000000
1760382337.214032,0.20,167.92,0.000,0.000000
1760382338.216869,0.20,167.92,0.000,0.000000
1760382339.217058,0.20,167.92,0.000,0.000000
1760382340.21706,0.20,167.92,0.000,0.000000
1760382341.217055,0.20,167.92,0.000,0.000000
1760382342.217057,0.20,167.92,0.000,0.000000
1760382343.215598,0.20,167.94,0.000,0.000000
1760382344.214549,0.20,167.94,0.000,0.000000
1760382345.214199,0.40,165.11,0.000,0.000000
1760382346.213398,0.20,164.52,0.000,0.000000
1760382347.214565,0.30,164.55,0.000,0.000000
1760382348.215719,0.20,164.55,0.000,0.000000
1760382349.216332,0.40,164.55,0.000,0.000000
1760382350.2128341,0.20,164.55,0.000,0.000000
1760382351.2169,0.20,164.55,0.000,0.000000
1760382352.2170482,0.20,164.55,0.000,0.000000
