timestamp,worker_id,country,workload_factor,latency_ms,status_code,endpoint,hour_local,minute_local
1761073372.829579,2,Germany,0.050,942.324,200,files,0,0
1761073372.831891,1,Germany,0.050,944.774,200,files,0,0
1761073372.8415859,0,Germany,0.050,961.262,200,files,0,0
1761073373.854018,2,Germany,0.050,23.335,200,files,0,30
1761073373.86024,1,Germany,0.050,27.457,200,files,0,30
1761073373.8637838,0,Germany,0.050,21.576,200,files,0,30
1761073374.872569,2,Germany,0.050,17.453,200,files,1,0
1761073374.881386,1,Germany,0.050,20.691,200,files,1,0
1761073374.8869581,0,Germany,0.050,22.777,200,files,1,0
1761073375.8913112,2,Germany,0.050,17.414,200,files,1,30
1761073375.8990898,1,Germany,0.050,16.884,200,files,1,30
1761073376.13397,0,Germany,0.050,245.108,200,cpu,1,30
1761073376.911916,2,Germany,0.050,19.405,200,files,2,0
1761073376.917983,1,Germany,0.050,18.730,200,files,2,0
1761073377.149694,0,Germany,0.050,14.651,200,files,2,0
1761073377.930443,2,Germany,0.050,18.236,200,files,2,30
1761073377.9359932,1,Germany,0.050,17.835,200,files,2,30
1761073378.16493,0,Germany,0.050,14.052,200,files,2,30
1761073378.955374,2,Germany,0.060,24.253,200,files,3,0
1761073378.959061,1,Germany,0.060,22.994,200,files,3,0
1761073379.1829278,0,Germany,0.060,16.932,200,files,3,0
1761073379.9831848,2,Germany,0.080,27.681,200,files,3,30
1761073379.9852002,1,Germany,0.080,26.057,200,files,3,30
1761073380.208672,0,Germany,0.080,24.629,200,files,3,30
1761073381.031743,1,Germany,0.120,46.428,200,files,4,0
1761073381.035483,2,Germany,0.120,52.148,200,files,4,0
1761073381.251837,0,Germany,0.120,42.089,200,files,4,0
1761073382.134251,1,Germany,0.180,102.344,200,files,4,30
1761073382.135199,2,Germany,0.180,99.671,200,files,4,30
1761073382.335365,0,Germany,0.180,82.466,200,files,4,30
1761073383.4538429,1,Germany,0.350,319.559,200,files,5,0
1761073384.6440058,2,Germany,0.350,1508.694,200,cpu,5,0
1761073384.84305,0,Germany,0.350,1506.171,200,cpu,5,0
1761073386.314178,2,Germany,0.500,669.094,200,files,5,30
1761073387.5689359,1,Germany,0.500,3114.265,200,cpu,5,30
1761073389.30201,0,Germany,0.500,3458.905,200,cpu,5,30
1761073389.7325141,1,Germany,0.650,1162.617,200,files,6,0
1761073393.081973,2,Germany,0.650,5766.778,200,cpu,6,0
1761073396.2333188,0,Germany,0.650,5930.339,200,cpu,6,0
1761073398.638092,1,Germany,0.750,7904.598,200,cpu,6,30
1761073401.961194,2,Germany,0.750,7878.127,200,cpu,6,30
1761073405.084266,0,Germany,0.750,7849.951,200,cpu,6,30
1761073410.125955,1,Germany,0.850,10481.744,200,cpu,7,0
1761073413.504653,2,Germany,0.850,10542.987,200,cpu,7,0
1761073416.6644568,0,Germany,0.850,10577.776,200,cpu,7,0
1761073422.993196,1,Germany,0.900,11866.294,200,cpu,7,30
1761073425.480594,2,Germany,0.900,10975.031,200,cpu,7,30
1761073427.684031,0,Germany,0.900,10012.169,200,cpu,7,30
