timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint
1759193263.515501,5,0.050,925.675,200,files
1759193263.520253,7,0.050,930.098,200,files
1759193263.520601,0,0.050,946.981,200,files
1759193263.521184,4,0.050,931.528,200,files
1759193263.521298,1,0.050,932.440,200,files
1759193263.5213928,6,0.050,931.403,200,files
1759193263.531841,2,0.050,942.583,200,files
1759193263.6135008,3,0.050,1024.026,200,cpu
1759193283.659892,5,0.050,20.261,200,files
1759193283.692899,7,0.050,9.848,200,files
1759193283.7017422,6,0.050,8.648,200,files
1759193283.7026181,0,0.050,17.333,200,cpu
1759193283.702742,4,0.050,12.073,200,files
1759193283.707434,1,0.050,16.038,200,cpu
1759193283.800268,2,0.050,12.694,200,files
1759193284.537076,3,0.050,14.656,200,files
1759193304.852025,3,0.050,17.915,200,cpu
1759193304.950815,5,0.050,10.757,200,files
1759193305.260252,7,0.050,23.147,200,cpu
1759193305.325088,6,0.050,8.418,200,files
1759193305.33026,4,0.050,5.899,200,files
1759193305.330576,0,0.050,6.677,200,files
1759193305.3735669,1,0.050,5.804,200,files
1759193306.211179,2,0.050,7.852,200,files
1759193323.358918,7,0.050,15.584,200,files
1759193323.9116108,2,0.050,10.020,200,files
1759193323.934175,6,0.050,7.466,200,files
1759193323.9819489,4,0.050,8.714,200,files
1759193323.983328,0,0.050,8.323,200,files
1759193324.376582,1,0.050,13.442,200,files
1759193327.6811142,3,0.050,12.048,200,files
1759193328.5789561,5,0.050,20.616,200,cpu
1759193342.241801,7,0.050,11.032,200,files
1759193343.4129128,1,0.050,22.670,200,cpu
1759193347.221895,2,0.050,16.402,200,files
1759193347.423127,6,0.050,14.691,200,files
1759193347.8504472,4,0.050,12.038,200,files
1759193347.86549,0,0.050,14.813,200,files
1759193349.152211,3,0.050,21.680,200,cpu
1759193349.2247,5,0.050,13.122,200,files
1759193360.1916,7,0.050,14.394,200,files
1759193362.725904,1,0.050,9.405,200,files
1759193365.0147169,2,0.050,16.527,200,files
1759193366.393439,3,0.050,22.372,200,cpu
1759193366.825788,6,0.050,16.433,200,files
1759193367.045845,5,0.050,22.326,200,cpu
1759193370.66896,4,0.050,14.683,200,files
1759193370.813517,0,0.050,22.947,200,cpu
1759193377.73904,7,0.050,13.726,200,files
1759193381.157239,2,0.050,23.505,200,cpu
1759193383.427522,5,0.050,13.888,200,files
1759193384.5501509,1,0.050,16.177,200,files
1759193385.56398,3,0.050,21.868,200,cpu
1759193389.445527,6,0.050,13.278,200,files
1759193392.0331619,4,0.050,12.355,200,cpu
1759193393.3386822,0,0.050,15.938,200,files
1759193398.434419,2,0.050,18.066,200,files
1759193399.668878,7,0.050,16.426,200,files
1759193402.858828,5,0.050,10.065,200,files
1759193404.969192,1,0.050,16.564,200,files
1759193406.094229,3,0.050,17.274,200,files
1759193408.315776,4,0.050,17.138,200,cpu
1759193409.026111,6,0.050,15.203,200,files
1759193412.0621078,0,0.050,12.838,200,files
1759193417.9283268,2,0.050,17.406,200,files
1759193421.042507,7,0.050,21.466,200,cpu
