timestamp,worker_id,timezone,workload_factor,latency_ms,status_code,endpoint,hour
1759196865.477191,5,asia,1.000,160.240,200,files,3
1759196865.480544,4,asia,1.000,77.169,200,files,3
1759196865.8493629,1,asia,1.000,560.115,200,cpu,3
1759196865.849531,2,asia,1.000,531.585,200,cpu,3
1759196865.8744042,7,asia,1.000,393.160,200,cpu,3
1759196865.889729,0,asia,1.000,348.948,200,cpu,3
1759196866.03515,6,asia,1.000,346.118,200,cpu,3
1759196866.095496,3,asia,1.000,328.337,200,cpu,3
1759196866.152673,8,asia,1.000,322.608,200,cpu,3
1759196867.095815,4,asia,1.000,381.003,200,cpu,3
1759196867.1590679,0,asia,1.000,24.567,200,files,3
1759196867.3849258,3,asia,1.000,21.012,200,files,3
1759196867.425971,6,asia,1.000,20.963,200,files,3
1759196867.441477,1,asia,1.000,307.814,200,cpu,3
1759196867.5277529,5,asia,1.000,303.179,200,cpu,3
1759196867.713991,8,asia,1.000,21.190,200,files,3
1759196867.780771,2,asia,1.000,300.539,200,cpu,3
1759196867.927653,7,asia,1.000,299.391,200,cpu,3
1759196868.57702,0,asia,1.000,27.907,200,files,3
1759196868.8350961,4,asia,1.000,334.981,200,cpu,3
1759196869.126507,1,asia,1.000,20.650,200,files,3
1759196869.222423,3,asia,1.000,318.509,200,cpu,3
1759196869.2239869,6,asia,1.000,318.088,200,cpu,3
1759196869.321601,8,asia,1.000,22.116,200,files,3
1759196869.361373,2,asia,1.000,312.853,200,cpu,3
1759196869.4443588,5,asia,1.000,308.898,200,cpu,3
1759196869.66866,7,asia,1.000,45.571,200,files,3
1759196870.110017,4,asia,1.000,21.475,200,files,3
1759196870.249026,0,asia,1.000,343.751,200,cpu,3
1759196870.8112051,6,asia,1.000,349.540,200,cpu,3
1759196870.956534,8,asia,1.000,314.562,200,cpu,3
1759196870.99723,1,asia,1.000,314.818,200,cpu,3
1759196871.1174889,3,asia,1.000,307.912,200,cpu,3
1759196871.1539478,2,asia,1.000,23.123,200,files,3
1759196871.1765451,5,asia,1.000,19.704,200,files,3
1759196871.305027,7,asia,1.000,30.121,200,files,3
1759196871.780277,4,asia,1.000,21.078,200,files,3
1759196871.799375,0,asia,1.000,304.647,200,cpu,3
1759196872.4694579,1,asia,1.000,49.128,200,files,3
1759196872.6518452,8,asia,1.000,20.389,200,files,3
1759196872.6646972,7,asia,1.000,20.185,200,files,3
1759196872.858827,6,asia,1.000,331.838,200,cpu,3
1759196872.975447,3,asia,1.000,312.019,200,cpu,3
1759196872.9761941,2,asia,1.000,311.399,200,cpu,3
1759196873.0093591,5,asia,1.000,310.383,200,cpu,3
1759196873.151556,4,asia,1.000,32.603,200,files,3
1759196873.580864,0,asia,1.000,325.760,200,cpu,3
1759196874.187262,1,asia,1.000,21.450,200,files,3
1759196874.205048,6,asia,1.000,20.843,200,files,3
1759196874.254265,7,asia,1.000,337.612,200,cpu,3
1759196874.3517609,8,asia,1.000,20.229,200,files,3
1759196874.426781,3,asia,1.000,19.508,200,files,3
1759196874.587486,2,asia,1.000,312.520,200,cpu,3
1759196874.640218,5,asia,1.000,308.168,200,cpu,3
1759196874.925448,4,asia,1.000,297.992,200,cpu,3
1759196875.344349,0,asia,1.000,44.260,200,files,3
1759196875.847604,1,asia,1.000,322.347,200,cpu,3
1759196875.8685591,8,asia,1.000,312.222,200,cpu,3
1759196875.9853702,7,asia,1.000,308.739,200,cpu,3
1759196876.035816,6,asia,1.000,305.747,200,cpu,3
1759196876.4223711,5,asia,1.000,340.321,200,cpu,3
1759196876.4690309,2,asia,1.000,322.165,200,cpu,3
1759196876.505124,3,asia,1.000,324.403,200,cpu,3
1759196876.646998,4,asia,1.000,320.433,200,cpu,3
1759196876.83719,0,asia,1.000,20.861,200,files,3
1759196877.555018,7,asia,1.000,329.071,200,cpu,3
1759196877.7621162,6,asia,1.000,313.339,200,cpu,3
1759196877.804357,8,asia,1.000,311.199,200,cpu,3
1759196877.811358,1,asia,1.000,310.409,200,cpu,3
1759196877.870562,2,asia,1.000,24.044,200,files,3
1759196878.218195,3,asia,1.000,24.375,200,files,3
1759196878.384896,5,asia,1.000,344.433,200,cpu,3
1759196878.399654,0,asia,1.000,321.407,200,cpu,3
1759196878.5207171,4,asia,1.000,304.513,200,cpu,3
1759196879.613508,1,asia,1.000,348.241,200,cpu,3
1759196879.634767,7,asia,1.000,322.591,200,cpu,3
1759196879.6471171,2,asia,1.000,27.639,200,files,3
1759196879.686943,5,asia,1.000,20.049,200,files,3
1759196879.723876,6,asia,1.000,314.092,200,cpu,3
1759196879.791351,8,asia,1.000,312.893,200,cpu,3
1759196879.989305,0,asia,1.000,304.529,200,cpu,3
1759196880.094223,3,asia,1.000,303.148,200,cpu,3
1759196880.258928,4,asia,1.000,301.959,200,cpu,3
1759196880.958543,1,asia,1.000,40.335,200,files,3
1759196881.296365,7,asia,1.000,391.186,200,cpu,3
1759196881.587755,5,asia,1.000,483.445,200,cpu,3
1759196881.601012,3,asia,1.000,30.949,200,files,3
1759196881.627402,2,asia,1.000,412.767,200,cpu,3
1759196881.636878,0,asia,1.000,401.535,200,cpu,3
1759196881.6493719,8,asia,1.000,358.881,200,cpu,3
1759196881.7597818,6,asia,1.000,339.695,200,cpu,3
1759196882.12186,4,asia,1.000,299.560,200,cpu,3
1759196882.7265542,1,asia,1.000,21.315,200,files,3
1759196882.9279182,7,asia,1.000,338.734,200,cpu,3
1759196883.479163,2,asia,1.000,355.331,200,cpu,3
1759196883.479533,0,asia,1.000,350.762,200,cpu,3
1759196883.5422568,8,asia,1.000,321.951,200,cpu,3
1759196883.558753,6,asia,1.000,21.528,200,files,3
1759196883.601969,5,asia,1.000,313.921,200,cpu,3
1759196883.748904,3,asia,1.000,311.761,200,cpu,3
1759196883.85599,4,asia,1.000,301.181,200,cpu,3
1759196884.4423091,1,asia,1.000,338.237,200,cpu,3
1759196884.4798641,7,asia,1.000,22.828,200,files,3
1759196885.058202,2,asia,1.000,20.593,200,files,3
1759196885.115632,5,asia,1.000,20.056,200,files,3
1759196885.2005188,0,asia,1.000,348.111,200,cpu,3
1759196885.257982,8,asia,1.000,313.189,200,cpu,3
1759196885.258968,6,asia,1.000,311.807,200,cpu,3
1759196885.430335,3,asia,1.000,19.751,200,files,3
1759196885.537487,4,asia,1.000,299.300,200,cpu,3
1759196886.016779,7,asia,1.000,327.624,200,cpu,3
1759196886.1200929,1,asia,1.000,27.852,200,files,3
1759196886.528513,6,asia,1.000,46.293,200,files,3
1759196886.599713,0,asia,1.000,20.244,200,files,3
1759196886.8263218,2,asia,1.000,330.471,200,cpu,3
1759196886.9271271,5,asia,1.000,303.340,200,cpu,3
1759196887.084598,8,asia,1.000,301.273,200,cpu,3
1759196887.414423,4,asia,1.000,305.082,200,cpu,3
1759196887.503049,3,asia,1.000,301.456,200,cpu,3
1759196887.766836,7,asia,1.000,302.640,200,cpu,3
1759196887.830474,1,asia,1.000,301.334,200,cpu,3
1759196888.135159,6,asia,1.000,298.410,200,cpu,3
1759196888.241261,2,us,0.050,3.852,200,files,3
1759196888.355415,4,europe,0.050,2.239,200,files,3
1759196888.486922,2,asia,1.000,305.867,200,cpu,3
1759196888.511186,6,us,0.050,2.707,200,cpu,3
1759196888.54142,5,us,0.050,3.429,200,files,3
1759196888.684151,0,asia,1.000,304.256,200,cpu,3
1759196888.7315211,5,asia,1.000,302.896,200,cpu,3
1759196888.82901,3,asia,1.000,19.644,200,files,3
1759196889.0272582,4,asia,1.000,302.631,200,cpu,3
1759196889.0795908,8,asia,1.000,302.825,200,cpu,3
1759196889.332407,7,asia,1.000,300.428,200,cpu,3
1759196889.39799,6,asia,1.000,23.528,200,files,3
1759196889.479323,1,asia,1.000,25.144,200,files,3
1759196889.7231958,7,europe,0.050,8.610,200,cpu,3
1759196890.231045,2,asia,1.000,334.752,200,cpu,3
1759196890.430393,5,europe,0.050,2.901,200,cpu,3
1759196890.565738,3,asia,1.000,21.452,200,files,3
1759196890.6226828,0,asia,1.000,320.968,200,cpu,3
1759196890.6427479,5,asia,1.000,312.093,200,cpu,3
1759196890.676121,4,asia,1.000,309.384,200,cpu,3
1759196890.909724,1,asia,1.000,19.703,200,files,3
1759196891.018369,6,asia,1.000,310.205,200,cpu,3
1759196891.130493,8,asia,1.000,306.057,200,cpu,3
1759196891.193857,7,asia,1.000,307.591,200,cpu,3
1759196892.0460858,2,asia,1.000,19.466,200,files,3
1759196892.1668758,3,asia,1.000,19.319,200,files,3
1759196892.2401721,0,asia,1.000,330.557,200,cpu,3
1759196892.256962,4,asia,1.000,315.413,200,cpu,3
1759196892.258956,5,asia,1.000,19.276,200,files,3
1759196892.6266701,1,europe,0.050,2.698,200,files,3
1759196892.627114,1,asia,1.000,307.043,200,cpu,3
1759196892.850168,7,us,0.050,3.371,200,files,3
1759196892.850955,8,asia,1.000,309.594,200,cpu,3
1759196892.956217,6,asia,1.000,308.919,200,cpu,3
1759196892.956799,7,asia,1.000,308.111,200,cpu,3
1759196893.489782,4,asia,1.000,28.421,200,files,3
1759196893.7642272,3,asia,1.000,347.902,200,cpu,3
1759196893.7911801,2,asia,1.000,317.124,200,cpu,3
1759196893.792127,0,asia,1.000,316.533,200,cpu,3
1759196894.142484,3,europe,0.050,2.451,200,files,3
1759196894.177883,5,asia,1.000,309.668,200,cpu,3
1759196894.408997,8,asia,1.000,20.290,200,files,3
1759196894.4652119,1,asia,1.000,301.428,200,cpu,3
1759196894.60688,7,asia,1.000,19.469,200,files,3
1759196894.646775,6,asia,1.000,301.528,200,cpu,3
1759196895.093187,1,us,0.050,3.360,200,files,3
1759196895.346797,4,asia,1.000,337.252,200,cpu,3
1759196895.354675,3,asia,1.000,326.276,200,cpu,3
1759196895.5912461,0,asia,1.000,19.492,200,files,3
1759196895.678394,0,us,0.050,2.299,200,files,3
1759196895.696883,5,asia,1.000,304.526,200,cpu,3
1759196895.870844,2,asia,1.000,303.371,200,cpu,3
1759196896.032251,1,asia,1.000,303.660,200,cpu,3
1759196896.1958668,2,europe,0.050,4.351,200,files,3
1759196896.249278,6,asia,1.000,312.710,200,cpu,3
1759196896.25058,8,asia,1.000,311.981,200,cpu,3
1759196896.27282,7,asia,1.000,311.212,200,cpu,3
1759196897.045202,3,us,0.050,2.959,200,files,3
1759196897.144833,0,asia,1.000,343.226,200,cpu,3
1759196897.253197,4,us,0.050,2.897,200,cpu,3
1759196897.253568,4,asia,1.000,309.612,200,cpu,3
1759196897.3955069,3,asia,1.000,309.449,200,cpu,3
1759196897.400908,5,asia,1.000,309.363,200,cpu,3
1759196897.572924,8,us,0.050,2.402,200,files,3
1759196897.662163,2,asia,1.000,299.252,200,cpu,3
1759196898.082457,1,asia,1.000,319.458,200,cpu,3
1759196898.2381701,6,asia,1.000,311.458,200,cpu,3
1759196898.3203042,7,asia,1.000,311.974,200,cpu,3
1759196898.330008,8,asia,1.000,310.394,200,cpu,3
1759196898.626869,6,europe,0.050,11.370,200,files,3
1759196898.854323,5,asia,1.000,20.363,200,files,3
1759196899.029979,0,europe,0.050,6.590,200,files,3
1759196899.0351539,3,asia,1.000,348.470,200,cpu,3
1759196899.0641,0,asia,1.000,317.013,200,cpu,3
1759196899.1802418,2,asia,1.000,308.658,200,cpu,3
1759196899.314942,4,asia,1.000,302.878,200,cpu,3
1759196899.8324852,8,europe,0.050,5.409,200,files,3
1759196899.841544,1,asia,1.000,19.902,200,files,3
1759196900.002691,8,asia,1.000,350.532,200,cpu,3
1759196900.009474,6,asia,1.000,332.062,200,cpu,3
1759196900.0303848,7,asia,1.000,315.679,200,cpu,3
1759196900.442563,5,asia,1.000,315.233,200,cpu,3
1759196900.676665,0,asia,1.000,303.488,200,cpu,3
1759196900.796151,2,asia,1.000,302.586,200,cpu,3
1759196900.970558,4,asia,1.000,303.118,200,cpu,3
1759196901.130903,3,asia,1.000,299.813,200,cpu,3
1759196901.6569118,1,asia,1.000,19.654,200,files,3
1759196901.793879,6,asia,1.000,339.440,200,cpu,3
1759196902.043078,7,asia,1.000,303.141,200,cpu,3
1759196902.053786,8,asia,1.000,302.419,200,cpu,3
1759196902.0856981,2,asia,1.000,20.440,200,files,3
1759196902.178619,5,asia,1.000,26.782,200,files,3
1759196902.6869388,0,asia,1.000,328.040,200,cpu,3
1759196902.704122,4,asia,1.000,313.428,200,cpu,3
1759196902.841872,3,asia,1.000,305.243,200,cpu,3
1759196903.279018,7,asia,1.000,20.686,200,files,3
1759196903.43539,6,asia,1.000,337.297,200,cpu,3
1759196903.681706,1,asia,1.000,307.933,200,cpu,3
1759196903.708842,8,asia,1.000,308.184,200,cpu,3
1759196903.817893,2,asia,1.000,305.979,200,cpu,3
1759196903.97044,5,asia,1.000,33.024,200,files,3
