timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint
1759193698.2700548,5,0.050,138.999,200,files
1759193698.270366,6,0.050,139.104,200,files
1759193698.270656,3,0.050,140.034,200,files
1759193698.271012,7,0.050,139.532,200,files
1759193698.271134,1,0.050,141.237,200,files
1759193698.271251,0,0.050,157.891,200,files
1759193698.271989,4,0.050,141.144,200,files
1759193698.272392,2,0.050,142.029,200,files
1759193716.448151,6,0.050,14.592,200,files
1759193716.4483871,3,0.050,11.644,200,files
1759193716.449932,5,0.050,18.747,200,files
1759193716.450866,1,0.050,10.089,200,files
1759193716.4516852,0,0.050,10.192,200,files
1759193716.456288,4,0.050,7.111,200,files
1759193716.476116,2,0.050,24.158,200,cpu
1759193716.476301,7,0.050,36.918,200,cpu
1759193736.048775,6,0.050,14.263,200,files
1759193736.049369,3,0.050,12.503,200,files
1759193736.051633,5,0.050,2.189,200,cpu
1759193736.0616581,1,0.050,3.324,200,files
1759193736.069261,0,0.050,3.922,200,cpu
1759193736.1170611,4,0.050,9.485,200,files
1759193736.2985191,7,0.050,10.249,200,files
1759193736.299384,2,0.050,13.277,200,files
1759193752.451744,6,0.050,11.569,200,files
1759193752.453171,3,0.050,8.407,200,files
1759193752.471325,5,0.050,5.787,200,files
1759193752.567961,1,0.050,11.910,200,files
1759193752.6345139,0,0.050,10.076,200,files
1759193753.063967,4,0.050,9.291,200,files
1759193754.6998882,7,0.050,11.954,200,files
1759193754.700917,2,0.050,6.140,200,files
1759193769.5897331,4,0.050,12.661,200,files
1759193772.075086,6,0.050,8.273,200,files
1759193772.085484,3,0.050,6.612,200,files
1759193772.252096,5,0.050,9.015,200,cpu
1759193773.1232672,1,0.050,10.494,200,files
1759193773.721632,0,0.050,9.830,200,files
1759193776.311126,7,0.050,11.006,200,files
1759193776.317323,2,0.050,8.331,200,files
1759193788.688368,6,0.050,11.275,200,cpu
1759193788.782111,3,0.050,11.606,200,files
1759193790.122198,1,0.050,11.566,200,files
1759193790.279732,5,0.050,9.775,200,files
1759193790.316531,4,0.050,7.869,200,cpu
1759193794.8080032,7,0.050,6.625,200,cpu
1759193794.865352,2,0.050,8.345,200,cpu
1759193795.505074,0,0.050,9.308,200,cpu
1759193807.1083,1,0.050,7.335,200,files
1759193808.524103,5,0.050,5.375,200,cpu
1759193808.8600802,4,0.050,10.856,200,files
1759193810.205344,6,0.050,8.916,200,cpu
1759193811.049902,3,0.050,10.620,200,files
1759193815.5575948,0,0.050,11.402,200,files
1759193817.284567,7,0.050,11.348,200,files
1759193817.799008,2,0.050,9.680,200,files
1759193823.987591,1,0.050,11.696,200,files
1759193827.461884,3,0.050,12.004,200,files
1759193827.859722,6,0.050,10.202,200,files
1759193828.726124,5,0.050,8.171,200,files
1759193831.7493088,4,0.050,7.642,200,files
1759193835.571043,7,0.050,9.060,200,cpu
1759193836.029682,0,0.050,10.281,200,files
1759193840.201805,2,0.050,9.666,200,cpu
1759193847.169943,3,0.050,11.851,200,files
1759193847.900553,1,0.050,11.128,200,files
1759193850.545386,5,0.050,9.275,200,files
1759193850.748255,6,0.050,9.679,200,files
1759193852.275532,0,0.050,7.794,200,files
1759193853.7551732,4,0.050,10.304,200,files
1759193856.151671,7,0.050,11.119,200,files
1759193857.826477,2,0.050,9.086,200,files
