timestamp,worker_id,timezone,workload_factor,latency_ms,status_code,endpoint,hour
1759196054.963976,1,asia,1.000,13497.298,200,cpu,3
1759196055.260076,0,asia,1.000,147.616,200,files,3
1759196056.3424158,3,asia,1.000,13557.557,200,cpu,3
1759196056.96613,0,asia,1.000,144.232,200,files,3
1759196057.6275158,7,asia,1.000,13565.949,200,cpu,3
1759196057.8870962,3,asia,1.000,135.521,200,files,3
1759196058.213845,8,asia,1.000,13538.942,200,cpu,3
1759196059.9497862,2,asia,1.000,13415.802,200,cpu,3
1759196060.091375,6,asia,1.000,13400.158,200,cpu,3
1759196060.8093388,7,europe,0.050,14.490,200,files,3
1759196063.5072708,6,europe,0.050,14.659,200,files,3
1759196063.7284522,1,europe,0.050,12.167,200,files,3
1759196063.858623,5,europe,0.050,11.996,200,files,3
1759196065.1371698,5,us,0.050,13.246,200,files,3
1759196065.4427059,1,us,0.050,12.265,200,files,3
1759196067.237761,5,asia,1.000,13474.084,200,cpu,3
1759196068.812712,3,europe,0.050,21.206,200,files,3
1759196069.511976,4,asia,1.000,13789.010,200,cpu,3
1759196070.1008792,8,us,0.050,25.439,200,cpu,3
1759196070.12143,1,asia,1.000,13632.094,200,cpu,3
1759196070.5043368,0,europe,0.050,13.014,200,files,3
1759196070.837606,2,us,0.050,13.566,200,files,3
1759196071.206432,4,asia,1.000,150.345,200,files,3
1759196071.848172,0,asia,1.000,13678.007,200,cpu,3
1759196072.7517388,4,asia,1.000,143.836,200,files,3
1759196072.956512,7,us,0.050,9.783,200,files,3
1759196072.996255,4,europe,0.050,8.952,200,files,3
1759196073.1002629,7,asia,1.000,13781.029,200,cpu,3
1759196073.218821,3,asia,1.000,13832.206,200,cpu,3
1759196073.277937,6,us,0.050,10.032,200,files,3
1759196073.3219159,8,asia,1.000,13721.518,200,cpu,3
1759196074.58013,3,us,0.050,13.327,200,files,3
1759196074.813548,2,asia,1.000,13502.626,200,cpu,3
1759196075.262867,8,asia,1.000,142.112,200,files,3
1759196075.373088,6,asia,1.000,13604.830,200,cpu,3
1759196076.017313,0,us,0.050,13.850,200,files,3
1759196076.632863,8,europe,0.050,13.040,200,files,3
1759196080.118786,2,europe,0.050,15.131,200,cpu,3
1759196082.057156,5,asia,1.000,13153.502,200,cpu,3
1759196083.388098,4,us,0.050,17.644,200,cpu,3
1759196085.579218,1,asia,1.000,13702.338,200,cpu,3
1759196087.2482738,0,asia,1.000,13767.677,200,cpu,3
1759196088.0600882,4,asia,1.000,14011.700,200,cpu,3
1759196088.3708959,7,asia,1.000,14049.839,200,cpu,3
1759196088.74687,3,asia,1.000,13944.644,200,cpu,3
1759196089.3033721,7,europe,0.050,11.182,200,files,3
1759196090.498485,5,us,0.050,15.090,200,files,3
1759196090.552495,8,asia,1.000,13920.768,200,cpu,3
1759196090.581719,2,asia,1.000,14093.879,200,cpu,3
1759196090.968287,6,asia,1.000,14038.370,200,cpu,3
1759196093.291431,3,europe,0.050,13.697,200,files,3
1759196096.792614,0,europe,0.050,13.093,200,files,3
1759196097.2254038,5,europe,0.050,12.825,200,files,3
1759196097.256525,6,europe,0.050,10.789,200,files,3
1759196097.4517398,5,asia,1.000,13856.741,200,cpu,3
1759196098.354243,1,europe,0.050,27.729,200,files,3
1759196098.873251,1,us,0.050,10.110,200,files,3
1759196101.1918201,1,asia,1.000,14109.568,200,cpu,3
1759196102.127028,8,europe,0.050,28.184,200,cpu,3
1759196102.7131362,0,asia,1.000,14155.749,200,cpu,3
1759196103.483698,6,us,0.050,32.568,200,files,3
1759196103.7100768,4,asia,1.000,14231.386,200,cpu,3
1759196104.1792681,7,asia,1.000,14198.140,200,cpu,3
1759196104.609777,3,asia,1.000,14321.489,200,cpu,3
1759196104.7775629,8,us,0.050,12.296,200,files,3
1759196104.98491,4,europe,0.050,10.809,200,files,3
1759196106.059201,8,asia,1.000,14121.529,200,cpu,3
1759196106.4954739,2,asia,1.000,14184.779,200,cpu,3
1759196106.523144,6,asia,1.000,14255.776,200,cpu,3
1759196106.681726,2,us,0.050,11.046,200,files,3
1759196106.819562,2,europe,0.050,11.013,200,files,3
1759196106.9949498,3,us,0.050,11.085,200,files,3
1759196108.333341,2,asia,1.000,168.470,200,files,3
1759196108.759733,7,us,0.050,32.064,200,files,3
1759196109.676794,0,us,0.050,20.837,200,files,3
1759196112.3549209,5,asia,1.000,13562.968,200,cpu,3
1759196116.207614,1,asia,1.000,13619.701,200,cpu,3
1759196116.3559601,5,us,0.050,26.574,200,cpu,3
1759196116.9048681,7,europe,0.050,29.880,200,files,3
1759196117.562607,4,us,0.050,21.233,200,cpu,3
1759196118.3586419,0,asia,1.000,13913.102,200,cpu,3
1759196119.313806,4,asia,1.000,13872.000,200,cpu,3
1759196119.928098,7,asia,1.000,13964.624,200,cpu,3
1759196119.9868228,3,asia,1.000,13981.327,200,cpu,3
1759196121.0234618,4,asia,1.000,136.204,200,files,3
1759196121.5670679,8,asia,1.000,13835.037,200,cpu,3
1759196121.972041,6,asia,1.000,13964.564,200,cpu,3
1759196123.0614452,8,asia,1.000,134.676,200,files,3
1759196123.640609,5,europe,0.050,23.809,200,files,3
1759196123.776834,2,asia,1.000,13924.775,200,cpu,3
1759196124.341386,1,europe,0.050,16.476,200,cpu,3
1759196126.0154119,0,europe,0.050,15.171,200,files,3
1759196127.393009,5,asia,1.000,13672.807,200,cpu,3
1759196127.4721,3,europe,0.050,14.360,200,files,3
1759196128.7793632,8,europe,0.050,17.577,200,files,3
1759196130.125767,6,europe,0.050,13.587,200,files,3
1759196131.151231,2,europe,0.050,12.560,200,files,3
1759196131.352282,1,us,0.050,12.074,200,files,3
1759196131.574903,1,asia,1.000,13793.600,200,cpu,3
1759196133.226531,4,europe,0.050,63.390,200,files,3
1759196133.472597,6,us,0.050,14.148,200,cpu,3
1759196133.8643498,0,asia,1.000,13790.780,200,cpu,3
1759196135.198421,3,asia,1.000,13883.603,200,cpu,3
1759196135.654929,7,asia,1.000,13996.589,200,cpu,3
1759196136.250145,4,asia,1.000,14017.147,200,cpu,3
1759196136.346209,3,us,0.050,11.548,200,files,3
1759196136.384504,2,us,0.050,10.680,200,files,3
1759196137.035618,3,asia,1.000,155.953,200,files,3
1759196137.101604,7,asia,1.000,134.333,200,files,3
1759196137.258076,6,asia,1.000,14010.482,200,cpu,3
1759196138.347593,8,asia,1.000,13833.053,200,cpu,3
1759196138.6821692,7,asia,1.000,144.165,200,files,3
1759196138.996095,2,asia,1.000,13791.551,200,cpu,3
1759196139.545268,8,us,0.050,11.202,200,files,3
1759196140.4061031,0,us,0.050,11.718,200,files,3
1759196140.448386,2,asia,1.000,163.708,200,files,3
1759196140.4840698,7,asia,1.000,139.095,200,files,3
1759196141.561172,7,us,0.050,13.052,200,files,3
1759196142.342906,5,asia,1.000,13264.551,200,cpu,3
1759196142.357547,7,asia,1.000,140.016,200,files,3
1759196144.120655,7,europe,0.050,35.093,200,files,3
1759196146.187402,1,asia,1.000,13056.822,200,cpu,3
1759196147.155982,5,us,0.050,26.156,200,files,3
1759196148.158703,4,us,0.050,12.320,200,files,3
1759196148.7493918,0,asia,1.000,13165.536,200,cpu,3
1759196151.5409,4,asia,1.000,13628.794,200,cpu,3
1759196152.288863,5,europe,0.050,19.464,200,files,3
1759196152.315927,3,asia,1.000,13708.060,200,cpu,3
1759196152.382111,6,asia,1.000,13886.455,200,cpu,3
1759196153.673059,8,asia,1.000,13786.340,200,cpu,3
1759196155.278646,2,europe,0.050,9.977,200,files,3
1759196156.058385,3,europe,0.050,13.945,200,files,3
1759196156.109043,2,asia,1.000,14037.280,200,cpu,3
1759196156.217006,1,europe,0.050,28.511,200,files,3
1759196156.314338,1,us,0.050,23.906,200,cpu,3
1759196156.7408051,6,europe,0.050,23.454,200,files,3
1759196158.0668402,5,asia,1.000,14069.072,200,cpu,3
1759196158.329173,7,asia,1.000,14222.193,200,cpu,3
1759196159.4726431,5,asia,1.000,146.989,200,files,3
1759196159.9515321,7,asia,1.000,144.796,200,files,3
1759196160.858716,5,asia,1.000,150.608,200,files,3
1759196161.002215,1,asia,1.000,13589.830,200,cpu,3
1759196161.462002,7,asia,1.000,154.920,200,files,3
1759196161.722661,0,europe,0.050,13.300,200,cpu,3
1759196161.8826408,4,europe,0.050,8.150,200,files,3
1759196162.767228,5,asia,1.000,152.823,200,files,3
1759196162.798675,8,europe,0.050,31.226,200,files,3
1759196163.661782,0,asia,1.000,13477.733,200,cpu,3
1759196163.715651,6,us,0.050,14.242,200,cpu,3
1759196165.529272,0,asia,1.000,162.333,200,files,3
1759196166.0198662,4,asia,1.000,13197.353,200,cpu,3
1759196167.059846,6,asia,1.000,13148.251,200,cpu,3
1759196167.24335,3,asia,1.000,13294.754,200,cpu,3
1759196167.5711439,8,us,0.050,14.695,200,cpu,3
1759196168.195557,8,asia,1.000,13066.959,200,cpu,3
1759196169.372114,7,us,0.050,27.884,200,files,3
1759196170.105751,7,europe,0.050,15.685,200,cpu,3
1759196170.902196,2,asia,1.000,13044.548,200,cpu,3
1759196170.906116,2,us,0.050,10.953,200,files,3
1759196171.929266,3,us,0.050,29.451,200,cpu,3
1759196172.702315,2,asia,1.000,134.091,200,files,3
1759196173.7354429,5,us,0.050,22.364,200,files,3
1759196174.5877671,4,us,0.050,10.180,200,files,3
1759196174.600926,2,asia,1.000,137.807,200,files,3
1759196176.203972,1,asia,1.000,13490.000,200,cpu,3
1759196176.2357929,7,asia,1.000,13564.296,200,cpu,3
1759196176.358468,0,us,0.050,12.039,200,files,3
1759196177.605719,1,asia,1.000,146.659,200,files,3
1759196178.03938,5,asia,1.000,13498.845,200,cpu,3
1759196178.535275,5,europe,0.050,12.981,200,files,3
1759196179.4132009,2,europe,0.050,16.498,200,files,3
1759196179.780134,5,asia,1.000,162.283,200,files,3
1759196180.886537,0,asia,1.000,13587.743,200,cpu,3
1759196181.088375,4,asia,1.000,13606.651,200,cpu,3
1759196182.263913,6,asia,1.000,13647.357,200,cpu,3
1759196182.559967,3,asia,1.000,13520.457,200,cpu,3
1759196183.253928,8,asia,1.000,13471.792,200,cpu,3
1759196184.3319302,3,asia,1.000,146.998,200,files,3
1759196185.3012311,1,europe,0.050,43.987,200,files,3
1759196186.7390132,4,europe,0.050,14.425,200,files,3
1759196187.0515,8,europe,0.050,11.812,200,files,3
1759196188.010381,6,europe,0.050,12.029,200,files,3
1759196189.595795,3,europe,0.050,14.129,200,files,3
1759196190.068814,2,asia,1.000,13723.882,200,cpu,3
1759196191.632542,1,us,0.050,14.587,200,cpu,3
1759196191.660684,7,asia,1.000,13880.595,200,cpu,3
1759196192.550592,0,europe,0.050,35.070,200,files,3
1759196192.698876,6,us,0.050,35.877,200,cpu,3
1759196192.908968,1,asia,1.000,14018.322,200,cpu,3
1759196195.1956108,5,asia,1.000,13993.799,200,cpu,3
1759196195.882138,7,europe,0.050,31.706,200,files,3
1759196196.492966,0,asia,1.000,14171.359,200,cpu,3
1759196197.003218,4,asia,1.000,14281.732,200,cpu,3
1759196198.0118332,0,asia,1.000,155.163,200,files,3
1759196198.0957499,6,asia,1.000,14331.584,200,cpu,3
1759196198.512943,5,us,0.050,11.509,200,files,3
1759196198.846411,4,asia,1.000,136.374,200,files,3
1759196198.862145,8,asia,1.000,14127.740,200,cpu,3
1759196199.605385,0,asia,1.000,136.121,200,files,3
1759196199.8810549,3,asia,1.000,14166.410,200,cpu,3
1759196200.227068,8,us,0.050,11.379,200,files,3
1759196201.373461,0,asia,1.000,141.601,200,files,3
1759196201.383498,2,us,0.050,7.639,200,files,3
1759196201.6910322,3,asia,1.000,144.603,200,files,3
1759196202.309786,4,us,0.050,13.884,200,files,3
1759196202.680341,7,us,0.050,13.815,200,files,3
1759196203.1116312,0,asia,1.000,168.191,200,files,3
1759196203.4101949,3,us,0.050,11.694,200,files,3
1759196204.807629,2,asia,1.000,13380.372,200,cpu,3
1759196205.739976,5,europe,0.050,13.311,200,files,3
1759196206.424653,7,asia,1.000,13291.128,200,cpu,3
1759196207.539552,1,asia,1.000,13296.167,200,cpu,3
1759196210.005919,5,asia,1.000,13464.395,200,cpu,3
1759196210.4441578,2,europe,0.050,31.382,200,files,3
1759196210.4891741,0,us,0.050,47.929,200,files,3
1759196211.913744,5,asia,1.000,147.221,200,files,3
1759196213.145631,6,asia,1.000,13573.043,200,cpu,3
1759196213.9869921,4,asia,1.000,13888.103,200,cpu,3
1759196214.16435,8,asia,1.000,13711.951,200,cpu,3
1759196215.7890859,8,asia,1.000,154.244,200,files,3
1759196216.246128,3,europe,0.050,28.684,200,cpu,3
1759196216.38508,6,europe,0.050,18.030,200,files,3
1759196216.786027,3,asia,1.000,13863.517,200,cpu,3
1759196217.588382,8,asia,1.000,150.123,200,files,3
1759196217.7350159,1,us,0.050,8.975,200,files,3
1759196218.112179,6,us,0.050,27.757,200,cpu,3
1759196218.502183,0,asia,1.000,13635.358,200,cpu,3
1759196219.816223,8,europe,0.050,42.383,200,cpu,3
1759196219.9844239,2,asia,1.000,13603.039,200,cpu,3
1759196220.041298,1,europe,0.050,11.633,200,files,3
1759196221.471854,7,asia,1.000,13751.097,200,cpu,3
1759196222.8056488,1,asia,1.000,13556.684,200,cpu,3
1759196226.261666,5,asia,1.000,13141.922,200,cpu,3
1759196227.2234392,6,asia,1.000,12814.907,200,cpu,3
1759196227.959166,4,asia,1.000,12595.315,200,cpu,3
1759196230.0150242,3,asia,1.000,11602.937,200,cpu,3
1759196230.690442,8,asia,1.000,11406.635,200,cpu,3
1759196230.860236,0,asia,1.000,11152.276,200,cpu,3
