ts,cpu_percent,rss_mb,power_w,energy_j_total
1759196566.6395361,0.20,132.39,0.000,0.000000
1759196567.643004,0.10,132.39,0.000,0.000000
1759196568.642998,0.10,132.39,0.000,0.000000
1759196569.64396,401.40,159.30,0.000,0.000000
1759196570.641105,156.90,159.98,0.000,0.000000
1759196571.639623,151.10,162.41,0.000,0.000000
1759196572.642442,159.60,162.41,0.000,0.000000
1759196573.6430058,215.00,163.05,0.000,0.000000
1759196574.642997,138.80,163.12,0.000,0.000000
1759196575.638293,250.30,164.31,0.000,0.000000
1759196576.639501,61.40,164.56,0.000,0.000000
1759196577.642978,332.70,164.88,0.000,0.000000
1759196578.642712,167.60,159.94,0.000,0.000000
1759196579.6430001,190.90,160.67,0.000,0.000000
1759196580.642974,121.60,162.20,0.000,0.000000
1759196581.64046,166.30,162.28,0.000,0.000000
1759196582.6429691,194.10,163.14,0.000,0.000000
1759196583.6429682,142.20,163.83,0.000,0.000000
1759196584.641672,255.40,163.86,0.000,0.000000
1759196585.643003,265.10,164.30,0.000,0.000000
1759196586.6433809,68.70,164.53,0.000,0.000000
1759196587.642981,290.30,164.86,0.000,0.000000
1759196588.64154,100.50,164.88,0.000,0.000000
1759196589.643009,373.10,164.94,0.000,0.000000
1759196590.640683,85.70,164.94,0.000,0.000000
1759196591.640724,348.70,165.12,0.000,0.000000
1759196592.6406112,53.00,165.19,0.000,0.000000
1759196593.6387498,339.60,165.58,0.000,0.000000
1759196594.642973,85.20,165.62,0.000,0.000000
1759196595.642538,261.10,167.42,0.000,0.000000
1759196596.640468,226.00,167.56,0.000,0.000000
1759196597.642978,214.30,167.67,0.000,0.000000
1759196598.642992,165.40,167.22,0.000,0.000000
1759196599.642986,174.10,167.36,0.000,0.000000
1759196600.642973,167.70,167.53,0.000,0.000000
1759196601.6429682,195.80,167.73,0.000,0.000000
1759196602.642994,186.10,167.73,0.000,0.000000
1759196603.643033,96.40,167.77,0.000,0.000000
1759196604.643025,272.80,168.30,0.000,0.000000
1759196605.642988,56.10,168.31,0.000,0.000000
1759196606.64297,335.90,168.55,0.000,0.000000
1759196607.639487,78.40,168.64,0.000,0.000000
1759196608.642974,156.20,168.81,0.000,0.000000
1759196609.6429791,80.20,168.84,0.000,0.000000
1759196610.6429791,257.40,168.78,0.000,0.000000
1759196611.6429691,143.20,169.03,0.000,0.000000
1759196612.6381419,233.20,169.02,0.000,0.000000
1759196613.642973,75.30,168.98,0.000,0.000000
1759196614.643015,357.50,169.03,0.000,0.000000
1759196615.642187,92.80,169.06,0.000,0.000000
1759196616.6556532,238.20,169.38,0.000,0.000000
1759196617.639433,259.90,160.00,0.000,0.000000
1759196618.64297,115.90,160.17,0.000,0.000000
1759196619.6429791,266.10,160.31,0.000,0.000000
1759196620.641634,144.70,160.34,0.000,0.000000
1759196621.642993,249.40,160.77,0.000,0.000000
1759196622.6401842,134.30,146.44,0.000,0.000000
1759196623.642987,271.80,103.19,0.000,0.000000
1759196624.642268,184.20,104.39,0.000,0.000000
1759196625.640945,155.00,105.59,0.000,0.000000
1759196626.642993,187.90,110.44,0.000,0.000000
1759196627.64299,240.30,119.67,0.000,0.000000
1759196628.6429691,140.30,125.56,0.000,0.000000
1759196629.642982,217.90,126.55,0.000,0.000000
1759196630.63994,186.20,127.47,0.000,0.000000
1759196631.638806,236.60,128.69,0.000,0.000000
1759196632.642974,153.60,129.58,0.000,0.000000
1759196633.6412191,95.60,130.81,0.000,0.000000
1759196634.63981,328.50,132.81,0.000,0.000000
1759196635.642185,122.80,132.86,0.000,0.000000
1759196636.6399739,284.20,134.77,0.000,0.000000
1759196637.63826,92.60,135.08,0.000,0.000000
1759196638.639097,291.40,136.62,0.000,0.000000
1759196639.642978,101.10,137.02,0.000,0.000000
1759196640.642978,214.50,137.75,0.000,0.000000
1759196641.638315,113.60,138.47,0.000,0.000000
1759196642.6430058,173.90,139.22,0.000,0.000000
1759196643.6429682,208.20,139.67,0.000,0.000000
1759196644.642996,146.20,139.84,0.000,0.000000
1759196645.642973,252.10,172.17,0.000,0.000000
1759196646.6429708,163.60,172.44,0.000,0.000000
1759196647.6429892,257.60,172.78,0.000,0.000000
1759196648.643032,134.60,172.78,0.000,0.000000
1759196649.639049,284.30,172.78,0.000,0.000000
1759196650.6429949,99.80,172.81,0.000,0.000000
1759196651.6429892,74.70,172.83,0.000,0.000000
1759196652.642992,170.90,172.88,0.000,0.000000
1759196653.642999,254.80,172.88,0.000,0.000000
1759196654.639343,110.60,172.88,0.000,0.000000
1759196655.6413271,296.50,172.91,0.000,0.000000
1759196656.642974,162.20,172.91,0.000,0.000000
1759196657.6391098,309.00,172.91,0.000,0.000000
1759196658.6424682,206.80,173.16,0.000,0.000000
1759196659.642992,120.10,173.16,0.000,0.000000
1759196660.6429949,231.90,173.16,0.000,0.000000
1759196661.642988,110.80,173.19,0.000,0.000000
1759196662.638412,349.90,173.19,0.000,0.000000
1759196663.6413188,219.40,168.81,0.000,0.000000
1759196664.642988,202.70,168.81,0.000,0.000000
1759196665.6407979,256.50,168.91,0.000,0.000000
1759196666.6418009,263.80,168.91,0.000,0.000000
1759196667.64088,198.60,168.91,0.000,0.000000
1759196668.642982,225.50,168.91,0.000,0.000000
1759196669.642563,227.40,166.72,0.000,0.000000
1759196670.642997,244.10,165.33,0.000,0.000000
1759196671.6423092,179.00,165.33,0.000,0.000000
1759196672.6429849,148.50,165.33,0.000,0.000000
1759196673.642497,273.20,165.38,0.000,0.000000
1759196674.643022,103.30,165.38,0.000,0.000000
1759196675.643009,240.50,165.50,0.000,0.000000
1759196676.643014,172.70,165.55,0.000,0.000000
1759196677.642973,168.50,165.95,0.000,0.000000
1759196678.64219,158.50,166.00,0.000,0.000000
1759196679.642973,240.80,166.97,0.000,0.000000
1759196680.6429849,194.40,166.97,0.000,0.000000
1759196681.6429708,149.00,166.98,0.000,0.000000
1759196682.642998,189.60,166.98,0.000,0.000000
1759196683.643004,193.30,166.98,0.000,0.000000
1759196684.642396,161.00,166.98,0.000,0.000000
1759196685.642823,288.20,166.98,0.000,0.000000
1759196686.6429791,218.00,167.02,0.000,0.000000
1759196687.642666,156.00,167.02,0.000,0.000000
1759196688.642604,192.30,167.02,0.000,0.000000
1759196689.6387079,164.20,167.02,0.000,0.000000
1759196690.642478,186.80,167.02,0.000,0.000000
1759196691.641293,167.90,167.02,0.000,0.000000
1759196692.640011,297.40,167.02,0.000,0.000000
1759196693.643004,184.60,167.02,0.000,0.000000
1759196694.642997,187.50,167.12,0.000,0.000000
1759196695.642944,198.90,167.12,0.000,0.000000
1759196696.643001,200.40,167.12,0.000,0.000000
1759196697.6429791,135.80,167.12,0.000,0.000000
1759196698.643023,327.00,166.84,0.000,0.000000
1759196699.641794,154.80,166.88,0.000,0.000000
1759196700.642367,167.30,166.88,0.000,0.000000
1759196701.642992,246.80,159.47,0.000,0.000000
1759196702.64049,179.90,159.83,0.000,0.000000
1759196703.642504,154.30,160.39,0.000,0.000000
1759196704.643024,247.90,160.97,0.000,0.000000
1759196705.6394858,203.80,161.20,0.000,0.000000
1759196706.642994,246.50,161.09,0.000,0.000000
1759196707.642982,107.60,161.17,0.000,0.000000
1759196708.64093,206.60,161.23,0.000,0.000000
1759196709.642996,136.20,161.23,0.000,0.000000
1759196710.642986,203.60,161.30,0.000,0.000000
1759196711.642997,186.00,161.30,0.000,0.000000
1759196712.6429791,189.00,163.69,0.000,0.000000
1759196713.641767,184.00,163.91,0.000,0.000000
1759196714.64019,215.40,164.03,0.000,0.000000
1759196715.640704,105.80,164.02,0.000,0.000000
1759196716.640586,261.70,163.50,0.000,0.000000
1759196717.6429708,98.10,161.59,0.000,0.000000
1759196718.641998,248.40,162.09,0.000,0.000000
1759196719.6422532,96.20,162.39,0.000,0.000000
1759196720.643022,160.20,162.41,0.000,0.000000
1759196721.642986,229.40,162.67,0.000,0.000000
1759196722.642983,175.30,162.86,0.000,0.000000
1759196723.643009,73.00,162.98,0.000,0.000000
1759196724.642981,237.60,163.14,0.000,0.000000
1759196725.642992,168.60,163.27,0.000,0.000000
1759196726.6429708,179.00,164.25,0.000,0.000000
1759196727.6430259,286.20,164.27,0.000,0.000000
1759196728.642977,75.30,164.39,0.000,0.000000
1759196729.643007,204.50,164.39,0.000,0.000000
1759196730.639288,230.80,164.39,0.000,0.000000
1759196731.6430058,178.00,164.39,0.000,0.000000
1759196732.642981,123.50,164.39,0.000,0.000000
1759196733.64302,243.40,164.39,0.000,0.000000
1759196734.642996,209.20,164.41,0.000,0.000000
1759196735.6430101,144.30,164.88,0.000,0.000000
1759196736.639762,225.30,164.92,0.000,0.000000
1759196737.642997,123.10,165.00,0.000,0.000000
1759196738.643024,435.70,165.02,0.000,0.000000
1759196739.642997,71.90,165.02,0.000,0.000000
1759196740.642976,252.30,165.03,0.000,0.000000
1759196741.641976,98.10,165.03,0.000,0.000000
1759196742.6429849,156.50,165.03,0.000,0.000000
1759196743.642519,176.20,165.03,0.000,0.000000
1759196744.642982,126.10,165.03,0.000,0.000000
1759196745.642978,242.70,165.09,0.000,0.000000
1759196746.642976,123.90,165.14,0.000,0.000000
1759196747.6429949,175.70,165.14,0.000,0.000000
1759196748.640579,233.70,165.14,0.000,0.000000
1759196749.6429849,185.10,165.14,0.000,0.000000
1759196750.642978,221.30,165.14,0.000,0.000000
1759196751.642996,160.10,165.14,0.000,0.000000
1759196752.643019,94.20,165.14,0.000,0.000000
1759196753.6429949,291.20,165.14,0.000,0.000000
1759196754.638352,131.70,165.14,0.000,0.000000
1759196755.642987,192.40,165.14,0.000,0.000000
1759196756.643004,69.70,165.17,0.000,0.000000
1759196757.6430368,239.70,165.42,0.000,0.000000
1759196758.640373,79.20,165.47,0.000,0.000000
1759196759.6408682,339.70,165.47,0.000,0.000000
1759196760.643009,144.10,165.48,0.000,0.000000
1759196761.642975,272.80,165.52,0.000,0.000000
1759196762.6429892,191.20,165.52,0.000,0.000000
1759196763.638313,184.00,165.52,0.000,0.000000
1759196764.642354,228.40,165.52,0.000,0.000000
1759196765.641441,243.40,165.52,0.000,0.000000
1759196766.642982,114.50,165.53,0.000,0.000000
1759196767.64299,149.70,165.53,0.000,0.000000
1759196768.642973,205.80,165.53,0.000,0.000000
1759196769.638965,103.00,165.53,0.000,0.000000
1759196770.6430159,198.80,165.53,0.000,0.000000
1759196771.6382961,145.90,165.53,0.000,0.000000
1759196772.642975,207.70,165.53,0.000,0.000000
1759196773.642973,181.10,165.17,0.000,0.000000
1759196774.639679,195.50,163.83,0.000,0.000000
1759196775.642975,97.90,163.67,0.000,0.000000
1759196776.642996,94.30,163.92,0.000,0.000000
1759196777.640749,121.50,164.02,0.000,0.000000
1759196778.640587,212.00,161.34,0.000,0.000000
1759196779.640244,218.90,161.31,0.000,0.000000
1759196780.6394172,102.80,161.33,0.000,0.000000
1759196781.641002,288.80,161.34,0.000,0.000000
1759196782.640689,112.00,161.34,0.000,0.000000
1759196783.642992,198.40,161.38,0.000,0.000000
1759196784.6407108,206.60,161.38,0.000,0.000000
1759196785.642993,160.60,136.11,0.000,0.000000
1759196786.642997,225.80,137.53,0.000,0.000000
1759196787.641631,149.50,134.84,0.000,0.000000
