timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint,date,hour
1759195458.844007,0,0.228,163.382,200,files,2025-09-30,3
1759195458.844262,2,0.223,8.611,200,files,2025-09-30,3
1759195460.0188491,1,0.199,15.370,200,files,2025-09-30,3
1759195460.990922,3,0.208,13.137,200,files,2025-09-30,3
1759195461.944958,4,0.233,15.245,200,files,2025-09-30,3
1759195463.656984,5,0.203,13.391,200,files,2025-09-30,3
1759195467.415783,1,0.216,12.733,200,files,2025-09-30,3
1759195468.9891741,0,0.218,12.540,200,files,2025-09-30,3
1759195469.595341,2,0.206,12.775,200,files,2025-09-30,3
1759195469.850711,3,0.220,11.734,200,files,2025-09-30,3
1759195471.646244,4,0.241,13.080,200,files,2025-09-30,3
1759195475.062804,1,0.207,13.843,200,files,2025-09-30,3
1759195475.276174,5,0.221,12.361,200,files,2025-09-30,3
1759195475.8701959,0,0.210,12.552,200,files,2025-09-30,3
1759195478.905192,2,0.226,10.539,200,files,2025-09-30,3
1759195480.192511,3,0.237,11.841,200,files,2025-09-30,3
1759195481.238747,4,0.210,12.510,200,files,2025-09-30,3
1759195484.4671922,0,0.209,11.933,200,files,2025-09-30,3
1759195484.732715,5,0.219,11.355,200,files,2025-09-30,3
1759195485.113808,1,0.206,11.402,200,files,2025-09-30,3
1759195487.8234282,2,0.231,49.821,200,cpu,2025-09-30,3
1759195489.8532312,4,0.210,13.240,200,files,2025-09-30,3
1759195490.67055,3,0.238,12.659,200,files,2025-09-30,3
1759195492.652179,1,0.242,11.664,200,files,2025-09-30,3
1759195493.702087,5,0.211,11.269,200,files,2025-09-30,3
1759195496.05703,4,0.234,11.783,200,files,2025-09-30,3
1759195496.259469,0,0.201,22.152,200,cpu,2025-09-30,3
1759195496.8734562,2,0.211,13.695,200,files,2025-09-30,3
1759195498.465226,3,0.233,11.103,200,files,2025-09-30,3
1759195499.273057,1,0.213,10.588,200,files,2025-09-30,3
1759195500.2983758,5,0.222,13.295,200,cpu,2025-09-30,3
1759195504.6013582,4,0.239,12.785,200,files,2025-09-30,3
1759195505.01074,0,0.236,11.973,200,files,2025-09-30,3
1759195506.721465,2,0.210,10.957,200,files,2025-09-30,3
1759195508.971779,3,0.204,11.948,200,files,2025-09-30,3
1759195510.1754339,1,0.238,11.115,200,files,2025-09-30,3
1759195510.7173371,5,0.225,11.011,200,files,2025-09-30,3
1759195512.361881,4,0.198,12.223,200,files,2025-09-30,3
1759195515.651345,0,0.216,12.021,200,files,2025-09-30,3
1759195516.09272,2,0.239,11.347,200,files,2025-09-30,3
1759195517.586259,3,0.221,12.833,200,files,2025-09-30,3
1759195518.9223082,5,0.239,9.051,200,files,2025-09-30,3
1759195520.480841,4,0.240,12.180,200,files,2025-09-30,3
1759195521.089024,1,0.207,26.584,200,cpu,2025-09-30,3
1759195524.7365792,0,0.211,12.505,200,files,2025-09-30,3
1759195525.246915,2,0.220,12.410,200,cpu,2025-09-30,3
1759195527.037451,4,0.230,12.278,200,files,2025-09-30,3
1759195528.48687,3,0.209,12.456,200,files,2025-09-30,3
1759195528.969395,1,0.232,10.127,200,files,2025-09-30,3
1759195529.408898,5,0.214,9.718,200,files,2025-09-30,3
1759195533.3077729,4,0.240,12.035,200,files,2025-09-30,3
1759195534.5060039,0,0.239,12.354,200,files,2025-09-30,3
1759195534.751473,2,0.219,9.379,200,files,2025-09-30,3
1759195537.010433,5,0.206,12.545,200,files,2025-09-30,3
1759195537.42814,3,0.214,10.562,200,files,2025-09-30,3
1759195539.3795671,1,0.228,12.686,200,files,2025-09-30,3
1759195539.963754,4,0.222,11.636,200,files,2025-09-30,3
1759195541.1234822,0,0.219,12.543,200,files,2025-09-30,3
1759195544.701206,5,0.210,11.172,200,files,2025-09-30,3
1759195544.763456,3,0.214,11.513,200,cpu,2025-09-30,3
1759195545.117973,2,0.207,13.247,200,files,2025-09-30,3
1759195546.503454,1,0.202,12.619,200,files,2025-09-30,3
1759195550.1334898,4,0.232,12.261,200,files,2025-09-30,3
1759195551.753435,5,0.224,13.006,200,files,2025-09-30,3
1759195552.1577542,0,0.228,10.458,200,files,2025-09-30,3
1759195552.5938282,3,0.204,10.152,200,files,2025-09-30,3
1759195554.945021,2,0.209,12.474,200,files,2025-09-30,3
1759195559.329277,1,0.202,11.953,200,files,2025-09-30,3
1759195559.499763,3,0.227,11.617,200,files,2025-09-30,3
1759195560.435013,0,0.227,11.017,200,files,2025-09-30,3
1759195560.837653,4,0.206,10.458,200,files,2025-09-30,3
1759195562.632619,5,0.234,10.209,200,files,2025-09-30,3
1759195566.218293,2,0.219,10.902,200,files,2025-09-30,3
1759195569.178678,1,0.200,10.469,200,files,2025-09-30,3
1759195569.4940538,4,0.239,10.311,200,files,2025-09-30,3
1759195569.548521,5,0.225,10.141,200,files,2025-09-30,3
1759195569.9576619,3,0.235,10.876,200,files,2025-09-30,3
1759195570.369226,0,0.226,11.649,200,files,2025-09-30,3
1759195576.25675,1,0.211,13.963,200,files,2025-09-30,3
1759195576.376537,2,0.199,10.978,200,files,2025-09-30,3
1759195576.787112,5,0.234,10.495,200,files,2025-09-30,3
1759195577.747364,4,0.228,10.386,200,files,2025-09-30,3
1759195578.998883,3,0.208,12.056,200,files,2025-09-30,3
1759195580.385534,0,0.219,11.505,200,files,2025-09-30,3
1759195582.904274,2,0.242,8.660,200,files,2025-09-30,3
1759195582.960352,1,0.235,7.719,200,files,2025-09-30,3
1759195585.1861482,4,0.207,11.496,200,files,2025-09-30,3
1759195585.974275,5,0.237,11.111,200,files,2025-09-30,3
1759195586.1643388,3,0.206,9.606,200,files,2025-09-30,3
1759195588.5704808,0,0.216,11.784,200,files,2025-09-30,3
1759195589.521045,1,0.224,11.824,200,files,2025-09-30,3
1759195590.90141,2,0.230,10.268,200,files,2025-09-30,3
1759195593.336303,4,0.198,12.292,200,files,2025-09-30,3
1759195595.177003,3,0.222,10.626,200,files,2025-09-30,3
1759195595.341142,5,0.235,10.022,200,files,2025-09-30,3
1759195596.861957,0,0.203,11.881,200,files,2025-09-30,3
1759195601.404119,1,0.216,11.726,200,files,2025-09-30,3
1759195601.511583,2,0.236,11.399,200,files,2025-09-30,3
1759195603.237122,4,0.220,12.580,200,files,2025-09-30,3
1759195604.2152221,5,0.217,11.467,200,files,2025-09-30,3
