timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint
1759008615.9727528,0,0.050,155.076,200,files
1759008615.973574,3,0.050,128.038,200,files
1759008615.9748921,6,0.050,128.915,200,files
1759008615.975198,1,0.050,130.146,200,files
1759008615.9753559,5,0.050,129.523,200,files
1759008615.975553,4,0.050,129.865,200,files
1759008615.9756851,7,0.050,129.565,200,files
1759008615.982157,2,0.050,136.815,200,cpu
1759008639.774391,0,0.050,18.132,200,files
1759008639.774529,3,0.050,11.364,200,files
1759008639.779194,6,0.050,4.161,200,files
1759008639.7807202,1,0.050,3.799,200,files
1759008639.783818,4,0.050,3.549,200,files
1759008639.784223,7,0.050,2.929,200,files
1759008639.78632,5,0.050,8.046,200,cpu
1759008639.844091,2,0.050,3.679,200,files
1759008661.982465,3,0.050,10.441,200,cpu
1759008661.983226,0,0.050,12.857,200,files
1759008662.018361,6,0.050,4.543,200,files
1759008662.031051,1,0.050,3.547,200,files
1759008662.059791,4,0.050,4.372,200,files
1759008662.062284,7,0.050,4.045,200,cpu
1759008662.081364,5,0.050,3.457,200,files
1759008662.6082492,2,0.050,10.438,200,files
1759008678.181037,6,0.050,14.288,200,files
1759008678.287503,1,0.050,6.874,200,cpu
1759008678.549692,4,0.050,10.278,200,files
1759008678.5650718,7,0.050,3.424,200,cpu
1759008678.74152,5,0.050,8.000,200,cpu
1759008683.5002398,2,0.050,25.081,200,cpu
1759008685.8565068,3,0.050,12.882,200,files
1759008685.8583229,0,0.050,8.730,200,files
1759008695.647873,6,0.050,16.753,200,files
1759008696.600406,1,0.050,11.320,200,files
1759008698.95798,4,0.050,9.357,200,cpu
1759008699.0933828,7,0.050,6.271,200,files
1759008700.685035,5,0.050,10.617,200,files
1759008703.5140328,2,0.050,10.115,200,files
1759008708.728729,3,0.050,18.628,200,cpu
1759008708.731235,0,0.050,5.452,200,files
1759008715.8545432,7,0.050,12.576,200,files
1759008716.841604,6,0.050,9.224,200,files
1759008717.41067,1,0.050,6.416,200,cpu
1759008722.1800928,5,0.050,13.378,200,files
1759008722.6296802,4,0.050,6.447,200,cpu
1759008723.6386318,2,0.050,10.882,200,files
1759008730.582133,3,0.050,22.398,200,files
1759008730.586984,0,0.050,4.452,200,cpu
1759008736.705195,1,0.050,7.792,200,cpu
1759008738.698178,7,0.050,6.078,200,cpu
1759008739.5837922,6,0.050,8.547,200,files
1759008739.627404,5,0.050,5.205,200,files
1759008743.67816,4,0.050,9.657,200,cpu
1759008744.7565,2,0.050,7.415,200,files
1759008751.2551749,3,0.050,14.520,200,files
1759008751.287717,0,0.050,3.802,200,cpu
1759008758.360657,1,0.050,12.645,200,files
1759008760.2619462,6,0.050,6.394,200,files
1759008760.288467,7,0.050,3.454,200,files
1759008760.657758,5,0.050,9.662,200,files
1759008765.116458,4,0.050,11.583,200,files
1759008766.81951,2,0.050,10.291,200,files
1759008769.310076,3,0.050,11.884,200,files
1759008769.600776,0,0.050,10.434,200,files
1759008777.261704,1,0.050,14.305,200,files
1759008778.366745,6,0.050,7.756,200,cpu
1759008778.60241,7,0.050,4.963,200,cpu
