timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint
1759193919.534521,2,0.050,150.391,200,files
1759193919.536114,3,0.050,151.726,200,files
1759193919.537122,5,0.050,152.308,200,files
1759193919.537243,6,0.050,152.234,200,files
1759193919.5373418,0,0.050,170.471,200,files
1759193919.538024,1,0.050,154.337,200,files
1759193919.538167,4,0.050,153.551,200,files
1759193919.538367,7,0.050,153.163,200,files
1759193939.8326771,2,0.050,10.506,200,files
1759193939.853793,6,0.050,7.871,200,files
1759193939.854864,5,0.050,9.515,200,files
1759193939.85593,0,0.050,9.497,200,files
1759193939.8565938,3,0.050,21.040,200,cpu
1759193939.862041,4,0.050,6.710,200,files
1759193939.862928,7,0.050,6.313,200,files
1759193939.863035,1,0.050,10.410,200,files
1759193962.506028,2,0.050,8.041,200,cpu
1759193962.7014248,6,0.050,13.121,200,files
1759193962.706003,5,0.050,8.604,200,files
1759193962.712019,0,0.050,5.760,200,files
1759193962.715793,3,0.050,3.614,200,cpu
1759193962.767476,4,0.050,5.135,200,cpu
1759193962.776887,7,0.050,7.547,200,files
1759193962.777747,1,0.050,7.258,200,files
1759193982.57075,2,0.050,14.499,200,files
1759193984.324708,6,0.050,10.192,200,cpu
1759193984.366871,5,0.050,11.110,200,files
1759193984.4161139,0,0.050,6.293,200,files
1759193984.449822,3,0.050,6.067,200,files
1759193984.9186811,4,0.050,10.482,200,files
1759193985.003882,7,0.050,10.116,200,files
1759193985.009717,1,0.050,8.584,200,cpu
1759194001.051239,7,0.050,15.037,200,files
1759194001.097139,1,0.050,8.373,200,files
1759194002.93278,6,0.050,8.922,200,files
1759194003.14633,2,0.050,8.049,200,cpu
1759194003.3134458,5,0.050,10.332,200,files
1759194003.7570088,0,0.050,10.682,200,files
1759194004.061771,3,0.050,11.990,200,files
1759194008.278096,4,0.050,8.622,200,cpu
1759194017.474925,7,0.050,13.214,200,files
1759194017.889023,1,0.050,13.410,200,files
1759194020.330271,2,0.050,11.820,200,files
1759194020.56918,3,0.050,11.893,200,files
1759194021.832052,5,0.050,9.675,200,cpu
1759194025.825814,0,0.050,11.395,200,cpu
1759194026.407697,6,0.050,11.408,200,files
1759194026.516186,4,0.050,12.033,200,files
1759194037.282479,7,0.050,6.971,200,files
1759194038.980104,2,0.050,6.494,200,files
1759194041.01514,1,0.050,12.754,200,files
1759194041.132619,3,0.050,8.793,200,cpu
1759194044.500822,5,0.050,11.089,200,files
1759194045.6836932,6,0.050,13.140,200,files
1759194046.654433,4,0.050,7.530,200,cpu
1759194048.4412081,0,0.050,8.517,200,files
1759194055.5575738,7,0.050,14.043,200,files
1759194057.149377,1,0.050,11.723,200,files
1759194058.205606,3,0.050,10.610,200,files
1759194062.83476,2,0.050,12.634,200,files
1759194064.517334,5,0.050,8.782,200,files
1759194067.165112,6,0.050,10.592,200,files
1759194067.903706,4,0.050,12.554,200,files
1759194067.982901,0,0.050,10.797,200,files
1759194074.358239,1,0.050,12.649,200,files
1759194075.8591301,3,0.050,7.809,200,cpu
1759194076.0271099,7,0.050,7.764,200,files
