ts,cpu_percent,rss_mb,power_w,energy_j_total
1759193681.011345,0.50,163.80,0.000,0.000000
1759193682.009392,0.10,163.80,0.000,0.000000
1759193683.011282,0.20,163.81,0.000,0.000000
1759193684.011271,0.20,163.86,0.000,0.000000
1759193685.00785,0.20,163.86,0.000,0.000000
1759193686.0093389,0.10,163.86,0.000,0.000000
1759193687.0112882,0.20,163.86,0.000,0.000000
1759193688.011311,0.20,163.89,0.000,0.000000
1759193689.006592,0.20,163.89,0.000,0.000000
1759193690.0111518,0.30,163.92,0.000,0.000000
1759193691.006986,0.40,163.95,0.000,0.000000
1759193692.0103848,0.20,163.95,0.000,0.000000
1759193693.009378,0.20,163.95,0.000,0.000000
1759193694.006701,0.20,163.95,0.000,0.000000
1759193695.006758,0.20,163.95,0.000,0.000000
1759193696.011294,0.30,163.98,0.000,0.000000
1759193697.009585,0.20,163.98,0.000,0.000000
1759193698.0076559,0.20,163.98,0.000,0.000000
1759193699.0113049,34.20,182.12,0.000,0.000000
1759193700.011277,0.20,182.14,0.000,0.000000
1759193701.010771,0.30,182.17,0.000,0.000000
1759193702.0112798,0.20,182.17,0.000,0.000000
1759193703.010198,0.10,182.17,0.000,0.000000
1759193704.0069098,0.20,182.17,0.000,0.000000
1759193705.010931,0.20,182.17,0.000,0.000000
1759193706.011287,0.20,175.78,0.000,0.000000
1759193707.011295,0.30,175.00,0.000,0.000000
1759193708.0099761,0.30,175.02,0.000,0.000000
1759193709.0092869,0.20,175.02,0.000,0.000000
1759193710.010871,0.20,175.02,0.000,0.000000
1759193711.009752,0.40,175.03,0.000,0.000000
1759193712.008079,0.20,175.03,0.000,0.000000
1759193713.007454,0.30,175.03,0.000,0.000000
1759193714.0112891,0.20,175.03,0.000,0.000000
1759193715.0071669,0.30,175.03,0.000,0.000000
1759193716.011295,0.20,175.03,0.000,0.000000
1759193717.009332,9.40,179.62,0.000,0.000000
1759193718.007193,0.20,179.62,0.000,0.000000
1759193719.0071099,0.30,153.58,0.000,0.000000
1759193720.0081458,0.20,153.58,0.000,0.000000
1759193721.006607,0.30,153.59,0.000,0.000000
1759193722.009782,0.20,153.59,0.000,0.000000
1759193723.011294,0.20,153.59,0.000,0.000000
1759193724.011282,0.40,153.61,0.000,0.000000
1759193725.008608,0.20,153.62,0.000,0.000000
1759193726.011308,0.20,153.62,0.000,0.000000
1759193727.011276,0.10,153.62,0.000,0.000000
1759193728.010396,0.20,153.62,0.000,0.000000
1759193729.006998,0.20,153.62,0.000,0.000000
1759193730.01129,0.20,153.62,0.000,0.000000
1759193731.0112991,0.40,153.66,0.000,0.000000
1759193732.0086741,0.20,153.66,0.000,0.000000
1759193733.007921,0.20,153.66,0.000,0.000000
1759193734.011292,0.20,153.66,0.000,0.000000
1759193735.0108569,0.20,153.66,0.000,0.000000
1759193736.0076292,0.20,153.66,0.000,0.000000
1759193737.011273,7.10,154.45,0.000,0.000000
1759193738.011281,0.20,154.45,0.000,0.000000
1759193739.006863,0.20,154.45,0.000,0.000000
1759193740.008516,0.20,154.45,0.000,0.000000
1759193741.008414,0.30,154.45,0.000,0.000000
1759193742.0112782,0.20,154.45,0.000,0.000000
1759193743.011287,0.20,154.45,0.000,0.000000
1759193744.010049,0.20,154.45,0.000,0.000000
1759193745.006895,0.20,154.47,0.000,0.000000
1759193746.011293,0.40,154.58,0.000,0.000000
1759193747.008667,0.20,154.58,0.000,0.000000
1759193748.011277,0.30,154.61,0.000,0.000000
1759193749.010277,0.20,154.61,0.000,0.000000
1759193750.010423,0.20,154.61,0.000,0.000000
1759193751.008954,0.30,154.61,0.000,0.000000
1759193752.0099761,0.40,154.73,0.000,0.000000
1759193753.011279,5.90,155.33,0.000,0.000000
1759193754.009592,1.10,155.41,0.000,0.000000
1759193755.010326,2.20,155.52,0.000,0.000000
1759193756.0093281,0.20,155.52,0.000,0.000000
1759193757.008127,0.20,155.52,0.000,0.000000
1759193758.0065432,0.20,155.52,0.000,0.000000
1759193759.0112278,0.20,155.52,0.000,0.000000
1759193760.0080981,0.10,140.08,0.000,0.000000
1759193761.008469,0.20,139.20,0.000,0.000000
1759193762.007064,0.20,139.20,0.000,0.000000
1759193763.011297,0.20,139.20,0.000,0.000000
1759193764.007452,0.10,139.08,0.000,0.000000
1759193765.0074959,0.10,136.84,0.000,0.000000
1759193766.0153759,0.10,136.84,0.000,0.000000
1759193767.00929,0.10,136.84,0.000,0.000000
1759193768.007339,0.20,136.84,0.000,0.000000
1759193769.011292,0.30,136.84,0.000,0.000000
1759193770.0087261,1.40,136.94,0.000,0.000000
1759193771.009978,0.30,136.95,0.000,0.000000
1759193772.009909,0.20,136.95,0.000,0.000000
1759193773.008964,3.70,137.36,0.000,0.000000
1759193774.009871,3.30,137.56,0.000,0.000000
1759193775.0093062,0.20,137.56,0.000,0.000000
1759193776.011306,0.20,137.56,0.000,0.000000
1759193777.011273,2.20,137.91,0.000,0.000000
1759193778.009662,0.30,137.91,0.000,0.000000
1759193779.007642,0.20,137.91,0.000,0.000000
1759193780.007309,0.20,137.91,0.000,0.000000
1759193781.011294,0.30,137.91,0.000,0.000000
1759193782.007124,0.20,137.91,0.000,0.000000
1759193783.009644,0.20,137.91,0.000,0.000000
1759193784.011292,0.20,137.91,0.000,0.000000
1759193785.01091,0.20,137.91,0.000,0.000000
1759193786.007513,0.20,137.91,0.000,0.000000
1759193787.009695,0.20,137.91,0.000,0.000000
1759193788.010539,0.20,137.91,0.000,0.000000
1759193789.010221,2.20,138.03,0.000,0.000000
1759193790.0093062,0.20,138.03,0.000,0.000000
1759193791.011295,3.70,138.17,0.000,0.000000
1759193792.009987,0.20,138.17,0.000,0.000000
1759193793.00931,0.20,138.17,0.000,0.000000
1759193794.0102,0.20,138.17,0.000,0.000000
1759193795.0073118,1.50,138.25,0.000,0.000000
1759193796.0074081,1.30,138.55,0.000,0.000000
1759193797.009087,0.20,138.55,0.000,0.000000
1759193798.006976,0.20,138.55,0.000,0.000000
1759193799.010083,0.20,138.55,0.000,0.000000
1759193800.011285,0.20,138.55,0.000,0.000000
1759193801.009865,0.20,138.56,0.000,0.000000
1759193802.0063481,0.10,138.56,0.000,0.000000
1759193803.009481,0.20,138.56,0.000,0.000000
1759193804.010092,0.10,138.56,0.000,0.000000
1759193805.010645,0.10,138.56,0.000,0.000000
1759193806.010933,0.20,138.56,0.000,0.000000
1759193807.011269,0.20,138.56,0.000,0.000000
1759193808.0113332,0.90,138.64,0.000,0.000000
1759193809.011204,2.30,138.83,0.000,0.000000
1759193810.0085928,0.20,138.83,0.000,0.000000
1759193811.0084312,0.90,138.88,0.000,0.000000
1759193812.0067048,1.60,139.00,0.000,0.000000
1759193813.0112891,0.50,139.02,0.000,0.000000
1759193814.011283,0.20,139.02,0.000,0.000000
1759193815.010525,0.20,139.02,0.000,0.000000
1759193816.011298,1.40,139.09,0.000,0.000000
1759193817.0094469,0.20,139.09,0.000,0.000000
1759193818.007576,2.30,139.27,0.000,0.000000
1759193819.008872,0.20,139.27,0.000,0.000000
1759193820.010773,0.20,139.27,0.000,0.000000
1759193821.011263,0.20,139.27,0.000,0.000000
1759193822.011302,0.20,139.27,0.000,0.000000
1759193823.011303,0.20,139.27,0.000,0.000000
1759193824.0077708,1.10,139.36,0.000,0.000000
1759193825.0101602,0.20,139.36,0.000,0.000000
1759193826.011274,0.10,139.36,0.000,0.000000
1759193827.010972,0.20,139.36,0.000,0.000000
1759193828.0063202,2.30,139.48,0.000,0.000000
1759193829.008519,1.00,139.56,0.000,0.000000
1759193830.010779,0.20,139.56,0.000,0.000000
1759193831.0089412,0.30,139.56,0.000,0.000000
1759193832.0108218,1.20,139.69,0.000,0.000000
1759193833.006662,0.20,139.69,0.000,0.000000
1759193834.011294,0.20,139.69,0.000,0.000000
1759193835.010873,0.30,139.70,0.000,0.000000
1759193836.00789,1.00,139.73,0.000,0.000000
1759193837.0112152,1.40,139.81,0.000,0.000000
1759193838.011199,0.20,139.81,0.000,0.000000
1759193839.009162,0.10,139.81,0.000,0.000000
1759193840.0112782,0.10,139.81,0.000,0.000000
1759193841.010387,1.40,139.92,0.000,0.000000
1759193842.011114,0.20,139.92,0.000,0.000000
1759193843.0085151,0.20,139.92,0.000,0.000000
1759193844.006746,0.10,139.84,0.000,0.000000
1759193845.011292,0.10,139.84,0.000,0.000000
1759193846.009228,0.20,139.84,0.000,0.000000
1759193847.011285,0.10,139.62,0.000,0.000000
1759193848.007593,3.00,140.53,0.000,0.000000
1759193849.010635,0.20,140.53,0.000,0.000000
1759193850.009762,0.20,140.53,0.000,0.000000
1759193851.0112891,2.80,140.70,0.000,0.000000
1759193852.0104792,0.20,140.70,0.000,0.000000
1759193853.008115,1.10,140.73,0.000,0.000000
1759193854.0103328,1.50,140.80,0.000,0.000000
1759193855.010741,0.10,140.80,0.000,0.000000
1759193856.011324,0.10,140.80,0.000,0.000000
1759193857.008939,1.40,140.86,0.000,0.000000
1759193858.011283,1.80,141.09,0.000,0.000000
1759193859.008176,0.10,141.09,0.000,0.000000
1759193860.007018,0.10,141.09,0.000,0.000000
