timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint
1759011906.4315321,5,0.050,208.214,200,files
1759011906.43187,7,0.050,208.338,200,files
1759011906.432328,1,0.050,209.650,200,files
1759011906.4326038,4,0.050,209.399,200,files
1759011906.433372,2,0.050,210.425,200,files
1759011906.433642,0,0.050,235.336,200,files
1759011906.433818,6,0.050,210.395,200,files
1759011906.4342349,3,0.050,211.142,200,files
1759011925.940258,6,0.050,30.412,200,files
1759011925.940486,4,0.050,44.868,200,files
1759011925.940614,0,0.050,35.264,200,files
1759011925.940771,7,0.050,46.961,200,files
1759011925.940941,2,0.050,36.103,200,files
1759011925.941809,1,0.050,47.524,200,files
1759011925.9419808,5,0.050,54.547,200,files
1759011925.96792,3,0.050,55.886,200,cpu
1759011954.287061,6,0.050,34.265,200,cpu
1759011954.2885172,1,0.050,22.040,200,cpu
1759011954.28862,5,0.050,20.230,200,files
1759011954.288714,0,0.050,30.854,200,files
1759011954.289344,7,0.050,31.378,200,files
1759011954.289463,4,0.050,31.980,200,files
1759011954.289597,2,0.050,31.540,200,files
1759011954.506263,3,0.050,5.211,200,files
1759011972.624712,1,0.050,26.727,200,files
1759011972.6248682,4,0.050,19.534,200,files
1759011972.6249442,5,0.050,26.163,200,files
1759011972.6250088,7,0.050,20.632,200,files
1759011972.6251059,6,0.050,35.850,200,files
1759011972.6251981,2,0.050,18.384,200,cpu
1759011972.6252842,0,0.050,24.774,200,cpu
1759011974.561962,3,0.050,4.159,200,cpu
1759011993.663507,6,0.050,29.739,200,files
1759011993.663649,4,0.050,30.377,200,files
1759011993.66374,1,0.050,39.616,200,files
1759011993.663868,0,0.050,29.680,200,files
1759011993.6647072,5,0.050,31.155,200,files
1759011993.664835,7,0.050,31.159,200,files
1759011993.665091,2,0.050,31.157,200,cpu
1759011995.062606,3,0.050,3.579,200,files
1759012011.586426,3,0.050,21.535,200,files
1759012014.9780202,6,0.050,4.869,200,files
1759012014.981298,1,0.050,7.285,200,files
1759012014.985676,4,0.050,12.238,200,files
1759012014.985773,0,0.050,10.529,200,files
1759012014.988524,2,0.050,2.305,200,files
1759012014.988912,5,0.050,3.077,200,files
1759012014.9892118,7,0.050,3.212,200,cpu
1759012032.30798,3,0.050,28.119,200,cpu
1759012038.812674,6,0.050,9.088,200,files
1759012038.841616,1,0.050,8.551,200,files
1759012038.875705,4,0.050,3.318,200,files
1759012038.87605,0,0.050,3.391,200,files
1759012038.903617,2,0.050,5.543,200,cpu
1759012038.9043531,5,0.050,3.716,200,files
1759012038.906564,7,0.050,3.178,200,files
1759012050.7929149,3,0.050,17.789,200,files
1759012061.3272839,6,0.050,12.235,200,files
1759012061.587494,1,0.050,11.110,200,cpu
1759012061.896509,0,0.050,10.468,200,files
1759012061.897263,4,0.050,13.821,200,files
1759012062.1447449,2,0.050,10.663,200,files
1759012062.145855,5,0.050,5.943,200,cpu
1759012062.166643,7,0.050,6.164,200,files
