timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint
1759009066.825473,6,0.050,141.049,200,files
1759009066.8257952,4,0.050,141.620,200,files
1759009066.826134,2,0.050,142.256,200,files
1759009066.826893,5,0.050,142.589,200,files
1759009066.827204,1,0.050,143.586,200,files
1759009066.827425,3,0.050,143.383,200,files
1759009066.827581,0,0.050,164.698,200,files
1759009066.8347478,7,0.050,150.197,200,cpu
1759009089.452384,6,0.050,21.523,200,files
1759009089.452517,2,0.050,15.724,200,files
1759009089.4526348,4,0.050,19.136,200,files
1759009089.452769,5,0.050,10.456,200,files
1759009089.4529228,1,0.050,7.966,200,cpu
1759009089.4539258,3,0.050,7.056,200,files
1759009089.45451,0,0.050,6.026,200,files
1759009089.5192041,7,0.050,5.328,200,files
1759009109.127605,1,0.050,41.167,200,files
1759009109.128551,2,0.050,50.083,200,files
1759009109.129038,3,0.050,39.296,200,files
1759009109.1295092,0,0.050,36.747,200,files
1759009109.1302211,6,0.050,57.413,200,files
1759009109.130709,4,0.050,48.780,200,files
1759009109.131497,5,0.050,49.344,200,cpu
1759009109.6849651,7,0.050,10.779,200,files
1759009126.1649852,1,0.050,14.509,200,files
1759009126.165586,2,0.050,8.456,200,files
1759009126.168305,3,0.050,6.629,200,cpu
1759009126.170227,0,0.050,4.512,200,files
1759009126.175987,6,0.050,3.688,200,files
1759009126.179445,4,0.050,2.940,200,cpu
1759009126.186661,5,0.050,2.593,200,cpu
1759009131.178758,7,0.050,12.093,200,files
1759009143.500862,2,0.050,10.365,200,files
1759009143.5010471,1,0.050,14.834,200,files
1759009143.520006,3,0.050,4.051,200,files
1759009143.5360441,0,0.050,2.882,200,cpu
1759009143.589397,6,0.050,4.364,200,files
1759009143.6203032,4,0.050,4.168,200,cpu
1759009143.690523,5,0.050,9.829,200,files
1759009148.620615,7,0.050,10.132,200,cpu
1759009163.521795,1,0.050,10.352,200,files
1759009163.522488,2,0.050,13.024,200,files
1759009163.690806,3,0.050,9.456,200,cpu
1759009163.837548,0,0.050,11.837,200,files
1759009164.3163588,6,0.050,10.397,200,cpu
1759009164.594486,4,0.050,10.371,200,cpu
1759009165.228169,5,0.050,11.958,200,files
1759009169.59831,7,0.050,11.624,200,files
1759009182.859751,6,0.050,11.018,200,files
1759009183.066437,5,0.050,11.576,200,files
1759009183.7087512,1,0.050,11.079,200,files
1759009183.710976,2,0.050,8.016,200,files
1759009185.228508,3,0.050,10.700,200,cpu
1759009185.362164,4,0.050,10.289,200,cpu
1759009186.5503402,0,0.050,11.306,200,files
1759009190.4007192,7,0.050,13.467,200,files
1759009199.613819,5,0.050,14.240,200,files
1759009203.0700018,3,0.050,11.819,200,files
1759009204.270314,4,0.050,10.065,200,cpu
1759009205.391432,1,0.050,11.023,200,cpu
1759009205.404043,2,0.050,4.104,200,cpu
1759009205.7468748,6,0.050,8.003,200,files
1759009206.96543,0,0.050,11.613,200,files
1759009209.620523,7,0.050,12.512,200,files
1759009219.644005,3,0.050,13.062,200,files
1759009220.536581,5,0.050,11.464,200,files
1759009222.447474,4,0.050,13.395,200,cpu
