timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint,date,hour
1759195010.613735,0,0.200,157.920,200,cpu,2025-09-30,3
1759195010.994368,3,0.216,27.358,200,files,2025-09-30,3
1759195011.829706,1,0.216,13.911,200,files,2025-09-30,3
1759195013.2408059,2,0.207,14.632,200,files,2025-09-30,3
1759195013.4603882,4,0.224,12.896,200,files,2025-09-30,3
1759195014.790337,5,0.211,11.856,200,files,2025-09-30,3
1759195018.689882,0,0.202,12.238,200,files,2025-09-30,3
1759195020.1905332,4,0.218,12.729,200,files,2025-09-30,3
1759195021.254435,2,0.240,10.753,200,files,2025-09-30,3
1759195021.632611,1,0.232,11.108,200,files,2025-09-30,3
1759195023.160326,3,0.208,3.994,200,files,2025-09-30,3
1759195025.826399,5,0.225,12.201,200,files,2025-09-30,3
1759195027.485638,4,0.231,10.279,200,files,2025-09-30,3
1759195029.0857458,1,0.225,11.148,200,files,2025-09-30,3
1759195029.653167,0,0.212,10.079,200,files,2025-09-30,3
1759195030.6565278,2,0.240,16.804,200,cpu,2025-09-30,3
1759195032.6166458,3,0.226,11.150,200,files,2025-09-30,3
1759195035.1221418,5,0.235,12.291,200,files,2025-09-30,3
1759195037.433138,1,0.204,12.205,200,files,2025-09-30,3
1759195037.49343,4,0.199,13.205,200,cpu,2025-09-30,3
1759195038.0996962,0,0.201,10.607,200,files,2025-09-30,3
1759195042.715932,2,0.213,11.533,200,files,2025-09-30,3
1759195043.2770932,3,0.224,11.188,200,files,2025-09-30,3
1759195044.736734,4,0.237,11.302,200,files,2025-09-30,3
1759195046.346561,1,0.226,11.785,200,files,2025-09-30,3
1759195047.0649862,5,0.210,13.274,200,cpu,2025-09-30,3
1759195048.854208,0,0.202,10.158,200,files,2025-09-30,3
1759195050.131774,3,0.224,12.087,200,files,2025-09-30,3
1759195051.748491,2,0.233,10.592,200,files,2025-09-30,3
1759195052.732816,4,0.227,10.503,200,files,2025-09-30,3
1759195057.234852,5,0.202,11.255,200,files,2025-09-30,3
1759195058.357271,0,0.229,10.534,200,files,2025-09-30,3
1759195058.5487292,1,0.213,11.325,200,files,2025-09-30,3
1759195059.8917701,4,0.201,11.402,200,files,2025-09-30,3
1759195061.6255429,3,0.202,12.251,200,files,2025-09-30,3
1759195063.093505,2,0.198,9.734,200,files,2025-09-30,3
1759195065.08005,5,0.209,10.856,200,files,2025-09-30,3
1759195065.741472,0,0.199,10.433,200,files,2025-09-30,3
1759195066.08423,1,0.222,11.151,200,files,2025-09-30,3
1759195066.5222101,4,0.222,10.560,200,files,2025-09-30,3
1759195068.706392,3,0.214,12.125,200,files,2025-09-30,3
1759195072.1872761,2,0.239,11.344,200,files,2025-09-30,3
1759195073.532199,4,0.227,10.106,200,files,2025-09-30,3
1759195075.923255,0,0.210,13.524,200,cpu,2025-09-30,3
1759195076.1848478,1,0.228,10.296,200,files,2025-09-30,3
1759195076.783318,5,0.203,10.513,200,files,2025-09-30,3
1759195076.9039,3,0.226,9.971,200,files,2025-09-30,3
1759195078.464808,2,0.235,12.624,200,files,2025-09-30,3
1759195084.244861,4,0.219,12.928,200,files,2025-09-30,3
1759195084.3923242,0,0.238,10.270,200,files,2025-09-30,3
1759195085.7569869,1,0.227,10.280,200,files,2025-09-30,3
1759195085.898806,3,0.211,10.082,200,files,2025-09-30,3
1759195087.1432881,5,0.239,11.469,200,files,2025-09-30,3
1759195088.6898189,2,0.216,10.659,200,files,2025-09-30,3
1759195090.372424,4,0.241,10.083,200,files,2025-09-30,3
1759195091.687267,0,0.228,10.625,200,files,2025-09-30,3
1759195095.539755,2,0.237,11.823,200,files,2025-09-30,3
1759195095.9465759,3,0.231,10.185,200,files,2025-09-30,3
1759195095.98899,5,0.228,8.440,200,files,2025-09-30,3
1759195096.930762,1,0.202,10.598,200,files,2025-09-30,3
1759195099.0965781,4,0.234,9.098,200,files,2025-09-30,3
1759195102.76274,0,0.201,11.047,200,files,2025-09-30,3
1759195103.522061,2,0.217,10.329,200,files,2025-09-30,3
1759195103.589292,5,0.226,9.822,200,files,2025-09-30,3
1759195104.965285,3,0.224,10.460,200,files,2025-09-30,3
1759195105.8773,1,0.201,10.692,200,files,2025-09-30,3
1759195106.013921,4,0.214,10.754,200,files,2025-09-30,3
1759195110.382775,2,0.233,12.134,200,files,2025-09-30,3
1759195110.4376051,0,0.219,9.141,200,files,2025-09-30,3
1759195112.5146089,3,0.241,9.324,200,files,2025-09-30,3
1759195113.523136,4,0.242,10.829,200,files,2025-09-30,3
1759195114.7393332,5,0.233,9.805,200,files,2025-09-30,3
1759195117.308188,0,0.206,12.563,200,files,2025-09-30,3
1759195117.8222778,1,0.215,10.671,200,files,2025-09-30,3
1759195120.810016,4,0.224,10.512,200,files,2025-09-30,3
1759195121.258492,2,0.219,9.703,200,files,2025-09-30,3
1759195123.006068,3,0.212,10.483,200,files,2025-09-30,3
1759195125.193768,1,0.224,10.734,200,files,2025-09-30,3
1759195125.2758899,0,0.205,12.705,200,cpu,2025-09-30,3
1759195126.775242,5,0.207,10.512,200,files,2025-09-30,3
1759195130.084115,4,0.213,11.215,200,files,2025-09-30,3
1759195130.593591,2,0.231,13.809,200,cpu,2025-09-30,3
1759195132.021023,1,0.231,10.352,200,files,2025-09-30,3
1759195133.219973,3,0.234,9.546,200,files,2025-09-30,3
1759195133.3868768,5,0.222,9.356,200,files,2025-09-30,3
1759195136.516533,0,0.220,11.520,200,files,2025-09-30,3
1759195137.3000371,2,0.234,10.151,200,files,2025-09-30,3
1759195138.885219,4,0.206,10.297,200,files,2025-09-30,3
1759195139.381181,1,0.237,9.123,200,files,2025-09-30,3
1759195140.425165,5,0.218,10.381,200,files,2025-09-30,3
1759195141.6069381,3,0.200,10.308,200,files,2025-09-30,3
1759195145.451194,2,0.212,9.716,200,files,2025-09-30,3
1759195146.656012,4,0.227,9.734,200,files,2025-09-30,3
1759195146.937873,0,0.231,17.432,200,files,2025-09-30,3
1759195150.444941,3,0.216,11.569,200,files,2025-09-30,3
1759195150.571887,5,0.214,10.077,200,files,2025-09-30,3
1759195150.99203,1,0.199,10.034,200,files,2025-09-30,3
1759195153.124764,0,0.239,11.652,200,files,2025-09-30,3
1759195153.8010519,2,0.200,8.877,200,files,2025-09-30,3
1759195157.158626,4,0.224,11.860,200,files,2025-09-30,3
1759195157.278411,3,0.207,10.664,200,files,2025-09-30,3
1759195158.984166,5,0.235,10.216,200,files,2025-09-30,3
1759195161.1219578,1,0.230,11.055,200,files,2025-09-30,3
1759195161.999469,0,0.205,10.553,200,files,2025-09-30,3
1759195163.267051,2,0.233,9.603,200,files,2025-09-30,3
1759195164.2693021,3,0.214,11.204,200,files,2025-09-30,3
1759195166.7049391,4,0.217,11.007,200,files,2025-09-30,3
