timestamp,worker_id,workload_factor,latency_ms,status_code,endpoint,date,hour
1759013004.473972,3,0.100,121.572,200,files,2025-09-28,0
1759013004.9119911,4,0.100,34.918,200,cpu,2025-09-28,0
1759013005.6676211,1,0.100,12.035,200,files,2025-09-28,0
1759013006.4510112,5,0.100,8.571,200,files,2025-09-28,0
1759013009.181246,2,0.100,12.789,200,files,2025-09-28,0
1759013011.375343,0,0.100,10.375,200,cpu,2025-09-28,0
1759013021.088541,1,0.100,12.604,200,files,2025-09-28,0
1759013023.9519858,4,0.100,11.723,200,files,2025-09-28,0
1759013025.320194,3,0.100,11.793,200,cpu,2025-09-28,0
1759013030.334225,5,0.100,12.990,200,files,2025-09-28,0
1759013030.976737,0,0.100,11.468,200,files,2025-09-28,0
1759013033.9933739,2,0.100,11.585,200,files,2025-09-28,0
1759013042.462056,4,0.100,20.060,200,files,2025-09-28,0
1759013043.128812,1,0.100,9.668,200,cpu,2025-09-28,0
1759013049.146652,3,0.100,13.474,200,files,2025-09-28,0
1759013051.101868,5,0.100,7.476,200,files,2025-09-28,0
1759013053.454026,0,0.100,12.374,200,files,2025-09-28,0
1759013054.6592839,2,0.100,8.126,200,files,2025-09-28,0
1759013065.078133,4,0.100,12.523,200,files,2025-09-28,0
1759013065.602345,3,0.100,13.640,200,files,2025-09-28,0
1759013065.8037188,1,0.100,10.662,200,files,2025-09-28,0
1759013072.563375,0,0.100,13.539,200,files,2025-09-28,0
1759013073.643007,2,0.100,12.768,200,files,2025-09-28,0
1759013075.0139241,5,0.100,12.771,200,files,2025-09-28,0
1759013082.235523,3,0.100,12.207,200,files,2025-09-28,0
1759013090.17002,4,0.100,13.728,200,files,2025-09-28,0
1759013090.7748458,1,0.100,10.439,200,files,2025-09-28,0
1759013092.652998,2,0.100,6.737,200,files,2025-09-28,0
1759013095.744174,0,0.100,10.970,200,files,2025-09-28,0
1759013097.0833569,5,0.100,9.782,200,files,2025-09-28,0
1759013097.997374,3,0.100,11.335,200,files,2025-09-28,0
1759013106.49118,1,0.100,10.814,200,files,2025-09-28,0
1759013109.236894,4,0.100,10.574,200,files,2025-09-28,0
1759013110.502916,2,0.100,10.808,200,files,2025-09-28,0
1759013117.926141,3,0.100,13.470,200,files,2025-09-28,0
1759013119.18206,5,0.100,11.063,200,files,2025-09-28,0
1759013120.601574,0,0.100,10.194,200,files,2025-09-28,0
1759013127.3553762,4,0.100,12.480,200,files,2025-09-28,0
1759013131.0343401,2,0.100,7.798,200,cpu,2025-09-28,0
1759013132.493831,1,0.100,11.286,200,files,2025-09-28,0
1759013133.849303,5,0.100,10.212,200,files,2025-09-28,0
1759013138.0914052,0,0.100,10.947,200,files,2025-09-28,0
1759013143.214839,3,0.100,12.844,200,files,2025-09-28,0
1759013150.577517,5,0.100,14.351,200,files,2025-09-28,0
1759013150.684116,1,0.100,8.292,200,files,2025-09-28,0
1759013152.2036438,4,0.100,9.806,200,files,2025-09-28,0
1759013152.618426,0,0.100,9.348,200,cpu,2025-09-28,0
1759013154.224392,2,0.100,10.931,200,files,2025-09-28,0
1759013166.8847392,3,0.100,13.348,200,files,2025-09-28,0
