ts,cpu_percent,rss_mb,power_w,energy_j_total
1761013321.387945,0.10,116.06,0.000,0.000000
1761013322.387955,0.10,116.06,0.000,0.000000
1761013323.3867142,0.10,116.08,0.000,0.000000
1761013324.3834372,105.10,207.91,0.000,0.000000
1761013325.387959,16.10,209.23,0.000,0.000000
1761013326.383017,12.80,210.41,0.000,0.000000
1761013327.387937,17.80,213.53,0.000,0.000000
1761013328.382996,15.00,214.97,0.000,0.000000
1761013329.387943,12.60,216.52,0.000,0.000000
1761013330.3879411,9.50,217.44,0.000,0.000000
1761013331.384479,12.70,218.41,0.000,0.000000
1761013332.387949,28.30,219.53,0.000,0.000000
1761013333.384691,50.30,230.62,0.000,0.000000
1761013334.387954,87.20,231.45,0.000,0.000000
1761013335.386813,26.50,213.25,0.000,0.000000
1761013336.387966,128.60,214.77,0.000,0.000000
1761013337.387965,266.40,215.27,0.000,0.000000
1761013338.384994,267.50,218.08,0.000,0.000000
1761013339.385409,150.40,218.28,0.000,0.000000
1761013340.386573,477.10,218.56,0.000,0.000000
1761013341.38779,179.70,219.12,0.000,0.000000
1761013342.387957,490.30,219.52,0.000,0.000000
1761013343.384782,239.10,220.16,0.000,0.000000
1761013344.387958,495.40,220.73,0.000,0.000000
1761013345.386307,280.20,220.86,0.000,0.000000
1761013346.384497,529.80,222.22,0.000,0.000000
1761013347.387965,233.70,214.06,0.000,0.000000
1761013348.385134,550.60,215.12,0.000,0.000000
1761013349.386805,252.00,216.70,0.000,0.000000
1761013350.3862321,504.40,217.41,0.000,0.000000
1761013351.3866172,266.50,218.44,0.000,0.000000
1761013352.384477,451.40,220.66,0.000,0.000000
1761013353.392498,187.90,222.11,0.000,0.000000
1761013354.387965,455.90,222.44,0.000,0.000000
1761013355.3873181,221.30,222.58,0.000,0.000000
1761013356.3889432,89.60,222.72,0.000,0.000000
1761013357.3858109,55.80,223.89,0.000,0.000000
1761013358.38323,142.20,223.94,0.000,0.000000
1761013359.387954,318.60,225.14,0.000,0.000000
1761013360.387733,270.60,227.62,0.000,0.000000
1761013361.3879611,246.60,227.86,0.000,0.000000
1761013362.3917089,248.00,227.89,0.000,0.000000
1761013363.3855948,221.20,227.97,0.000,0.000000
1761013364.384664,291.60,228.31,0.000,0.000000
1761013365.387956,176.30,224.83,0.000,0.000000
1761013366.383086,238.70,224.03,0.000,0.000000
1761013367.387952,132.80,224.69,0.000,0.000000
1761013368.389877,103.00,224.81,0.000,0.000000
