ts,cpu_percent,rss_mb,power_w,energy_j_total
1760383809.4047968,0.20,28.59,0.000,0.000000
1760383810.4075232,1.20,46.52,0.000,0.000000
1760383811.40843,0.20,46.80,0.000,0.000000
1760383812.4078531,67.30,159.38,0.000,0.000000
1760383813.408438,18.40,162.84,0.000,0.000000
1760383814.4084191,4.70,150.92,0.000,0.000000
1760383815.4084082,7.60,150.02,0.000,0.000000
1760383816.404127,6.60,150.66,0.000,0.000000
1760383817.4045172,7.20,150.47,0.000,0.000000
1760383818.4045131,7.70,149.95,0.000,0.000000
1760383819.4084082,7.40,150.73,0.000,0.000000
1760383820.4084108,6.90,151.66,0.000,0.000000
1760383821.408405,8.50,152.81,0.000,0.000000
1760383822.406524,21.50,155.59,0.000,0.000000
1760383823.404499,9.50,156.69,0.000,0.000000
1760383824.404501,50.90,159.31,0.000,0.000000
1760383825.408407,45.70,161.27,0.000,0.000000
1760383826.406513,73.40,163.33,0.000,0.000000
1760383827.407736,72.90,164.59,0.000,0.000000
1760383828.405472,113.10,166.12,0.000,0.000000
1760383829.404486,184.50,178.56,0.000,0.000000
1760383830.408415,202.30,178.91,0.000,0.000000
1760383831.408405,161.80,179.06,0.000,0.000000
1760383832.4062972,132.20,179.27,0.000,0.000000
1760383833.4044428,67.80,179.83,0.000,0.000000
1760383834.406851,174.30,181.39,0.000,0.000000
1760383835.404462,122.70,182.11,0.000,0.000000
1760383836.404458,117.50,182.22,0.000,0.000000
1760383837.404882,89.90,183.16,0.000,0.000000
1760383838.4044569,22.50,190.73,0.000,0.000000
1760383839.408412,7.90,191.23,0.000,0.000000
1760383840.405225,63.90,163.20,0.000,0.000000
1760383841.404093,90.10,163.53,0.000,0.000000
1760383842.404902,93.70,162.14,0.000,0.000000
1760383843.406414,61.50,161.09,0.000,0.000000
1760383844.40841,78.70,157.69,0.000,0.000000
1760383845.408417,44.70,158.17,0.000,0.000000
1760383846.408424,56.30,137.09,0.000,0.000000
1760383847.403918,39.60,138.42,0.000,0.000000
1760383848.404442,61.90,150.44,0.000,0.000000
1760383849.405787,21.80,152.84,0.000,0.000000
1760383850.404442,21.50,154.05,0.000,0.000000
1760383851.4055839,15.30,153.09,0.000,0.000000
1760383852.4044302,6.40,154.02,0.000,0.000000
1760383853.413613,6.00,154.27,0.000,0.000000
1760383854.407105,6.90,153.44,0.000,0.000000
1760383855.407718,5.90,120.70,0.000,0.000000
1760383856.4084082,5.40,122.66,0.000,0.000000
