ts,cpu_percent,rss_mb,power_w,energy_j_total
1760378174.207047,1.10,121.73,0.000,0.000000
1760378175.206859,0.60,121.94,0.000,0.000000
1760378176.207196,0.10,118.31,0.000,0.000000
1760378177.204584,0.60,118.38,0.000,0.000000
1760378178.206998,65.40,186.52,0.000,0.000000
1760378179.208033,0.30,186.55,0.000,0.000000
1760378180.20803,25.80,188.08,0.000,0.000000
1760378181.2080278,10.90,186.94,0.000,0.000000
1760378182.2074308,19.30,187.62,0.000,0.000000
1760378183.208011,9.20,187.77,0.000,0.000000
1760378184.207993,6.80,188.44,0.000,0.000000
1760378185.206691,26.20,188.91,0.000,0.000000
1760378186.205567,3.60,188.94,0.000,0.000000
1760378187.2070222,15.70,189.69,0.000,0.000000
1760378188.203049,16.50,190.28,0.000,0.000000
1760378189.207888,14.50,190.62,0.000,0.000000
1760378190.2050931,10.80,190.80,0.000,0.000000
1760378191.2080262,12.20,190.95,0.000,0.000000
1760378192.206618,12.30,191.53,0.000,0.000000
1760378193.206731,7.50,191.98,0.000,0.000000
1760378194.208031,14.70,192.31,0.000,0.000000
1760378195.206683,18.40,192.77,0.000,0.000000
1760378196.208022,6.70,184.30,0.000,0.000000
1760378197.20805,16.60,184.70,0.000,0.000000
1760378198.207581,12.80,184.95,0.000,0.000000
1760378199.205038,16.80,178.17,0.000,0.000000
1760378200.2056031,5.70,176.86,0.000,0.000000
1760378201.2069812,10.60,176.98,0.000,0.000000
1760378202.208016,11.50,177.30,0.000,0.000000
1760378203.206982,22.90,172.19,0.000,0.000000
1760378204.2080178,3.50,172.47,0.000,0.000000
1760378205.206979,22.00,172.73,0.000,0.000000
1760378206.206861,19.50,173.41,0.000,0.000000
1760378207.206754,0.20,173.41,0.000,0.000000
1760378208.206916,27.50,174.17,0.000,0.000000
1760378209.205172,0.70,174.20,0.000,0.000000
1760378210.2080169,20.20,173.91,0.000,0.000000
1760378211.208022,3.60,173.59,0.000,0.000000
1760378212.2059891,19.60,173.94,0.000,0.000000
1760378213.206805,1.50,174.03,0.000,0.000000
1760378214.208002,14.80,174.56,0.000,0.000000
1760378215.207783,0.30,174.56,0.000,0.000000
1760378216.2041888,19.50,174.38,0.000,0.000000
1760378217.2055218,7.20,174.50,0.000,0.000000
1760378218.208006,10.30,174.62,0.000,0.000000
1760378219.208022,5.20,174.69,0.000,0.000000
1760378220.206007,18.60,174.88,0.000,0.000000
1760378221.205902,12.30,174.81,0.000,0.000000
1760378222.207998,17.50,175.03,0.000,0.000000
1760378223.207037,22.20,175.22,0.000,0.000000
1760378224.208014,12.70,174.95,0.000,0.000000
1760378225.207062,22.30,175.12,0.000,0.000000
1760378226.2055411,7.80,175.41,0.000,0.000000
1760378227.2069519,9.70,175.62,0.000,0.000000
